Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2003",,,,,,,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,,,,,,
"Montgomery, AL M.S.A.","352,344", ,,,,, ,,,,,,,,,,
"    (Includes Autauga, Elmore, Lowndes, and Montgomery Counties.)",,,,,,,,,,,,,,,,,
        City of Montgomery,"202,064","1,307",18,115,658,516,"16,125","4,092","10,268","1,765",,,,,,,
        Total area actually reporting,100.0%,"1,798",29,189,778,802,"21,078","5,309","13,666","2,103",,,,,,,
"        Rate per 100,000 inhabitants",,510.3,8.2,53.6,220.8,227.6,"5,982.2","1,506.8","3,878.6",596.9,,,,,,,
"Morristown, TN M.S.A.","126,496", ,,,,, ,,,,,,,,,,
"    (Includes Grainger, Hamblen, and Jefferson Counties.)",,,,,,,,,,,,,,,,,
        City of Morristown,"25,330",181,1,16,28,136,"1,874",206,"1,511",157,,,,,,,
        Total area actually reporting,100.0%,532,9,44,59,420,"4,657",960,"3,283",414,,,,,,,
"        Rate per 100,000 inhabitants",,420.6,7.1,34.8,46.6,332.0,"3,681.5",758.9,"2,595.3",327.3,,,,,,,
"Mount Vernon-Anacortes, WA M.S.A.","108,006",,,,,,,,,,,,,,,,
    (Includes Skagit County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Mount Vernon,"27,488",75,0,22,22,31,"2,350",293,"1,948",109,,,,,,,
            Anacortes,"15,359",11,0,2,2,7,487,97,365,25,,,,,,,
        Total area actually reporting,100.0%,227,1,74,47,105,"6,944","1,367","5,153",424,,,,,,,
"        Rate per 100,000 inhabitants",,210.2,0.9,68.5,43.5,97.2,"6,429.3","1,265.7","4,771.0",392.6,,,,,,,
"Muncie, IN M.S.A.","118,899", ,,,,, ,,,,,,,,,,
    (Includes Delaware County.),,,,,,,,,,,,,,,,,
        City of Muncie,"67,594",291,1,56,68,166,"3,018",545,"2,255",218,,,,,,,
        Total area actually reporting,100.0%,370,1,94,73,202,"4,121",742,"3,078",301,,,,,,,
"        Rate per 100,000 inhabitants",,311.2,0.8,79.1,61.4,169.9,"3,466.0",624.1,"2,588.8",253.2,,,,,,,
"Muskegon-Norton Shores, MI M.S.A.","172,270",,,,,,,,,,,,,,,,
    (Includes Muskegon County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Muskegon,"39,547",332,1,52,48,231,"2,631",478,"1,937",216,,,,,,,
            Norton Shores,"23,152",53,0,8,13,32,"1,028",102,870,56,,,,,,,
        Total area actually reporting,100.0%,851,4,110,121,616,"8,253","1,312","6,274",667,,,,,,,
"        Rate per 100,000 inhabitants",,494.0,2.3,63.9,70.2,357.6,"4,790.7",761.6,"3,642.0",387.2,,,,,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC M.S.A.","208,044",,,,,,,,,,,,,,,,
    (Includes Horry County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Myrtle Beach,"24,764",608,4,63,195,346,"4,835",773,"3,547",515,,,,,,,
            Conway,"12,137",148,1,9,27,111,"1,388",224,"1,081",83,,,,,,,
            North Myrtle Beach,"12,135",68,0,13,18,37,"1,387",234,"1,060",93,,,,,,,
        Total area actually reporting,100.0%,"1,893",13,167,367,"1,346","15,478","2,989","11,047","1,442",,,,,,,
"        Rate per 100,000 inhabitants",,909.9,6.2,80.3,176.4,647.0,"7,439.8","1,436.7","5,309.9",693.1,,,,,,,
"Napa, CA M.S.A.","131,635", ,,,,, ,,,,,,,,,,
    (Includes Napa County.),,,,,,,,,,,,,,,,,
        City of Napa,"75,819",306,0,26,48,232,"2,450",308,"1,969",173,,,,,,,
        Total area actually reporting,100.0%,380,2,39,51,288,"3,623",581,"2,670",372,,,,,,,
"        Rate per 100,000 inhabitants",,288.7,1.5,29.6,38.7,218.8,"2,752.3",441.4,"2,028.3",282.6,,,,,,,
"Naples-Marco Island, FL M.S.A.","281,756",,,,,,,,,,,,,,,,
    (Includes Collier County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Naples,"21,549",54,0,4,13,37,"1,084",183,866,35,,,,,,,
            Marco Island,"15,469",11,0,0,3,8,263,38,216,9,,,,,,,
        Total area actually reporting,100.0%,"1,433",10,105,236,"1,082","7,806","1,974","5,372",460,,,,,,,
"        Rate per 100,000 inhabitants",,508.6,3.5,37.3,83.8,384.0,"2,770.5",700.6,"1,906.6",163.3,,,,,,,
"Nashville-Davidson--Murfreesboro, TN M.S.A.","1,363,472",,,,,,,,,,,,,,,,
"    (Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties.) ",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Nashville,"554,888","8,331",74,335,"2,197","5,725","38,648","7,369","26,630","4,649",,,,,,,
            Murfreesboro,"75,468",459,2,27,77,353,"3,232",475,"2,482",275,,,,,,,
        Total area actually reporting,100.0%,"11,516",102,578,"2,525","8,311","61,081","11,789","42,922","6,370",,,,,,,
"        Rate per 100,000 inhabitants",,844.6,7.5,42.4,185.2,609.5,"4,479.8",864.6,"3,148.0",467.2,,,,,,,
"New Orleans-Metairie-Kenner, LA M.S.A.","1,319,270",,,,,,,,,,,,,,,,
"    (Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. John the Baptist, and St. Tammany Parishes.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            New Orleans,"475,128","4,596",274,213,"2,071","2,038","24,477","4,879","12,726","6,872",,,,,,,
            Kenner,"70,717",291,4,17,69,201,"2,801",362,"2,119",320,,,,,,,
        Total area actually reporting,99.8%,"8,700",336,451,"3,150","4,763","56,882","11,209","35,106","10,567",,,,,,,
        Estimated total,100.0%,"8,712",336,452,"3,152","4,772","57,003","11,229","35,200","10,574",,,,,,,
"        Rate per 100,000 inhabitants",,660.4,25.5,34.3,238.9,361.7,"4,320.8",851.2,"2,668.1",801.5,,,,,,,
"New York-Northern New Jersey-Long Island, NY-NJ-PA M.S.A.","18,659,493",,,,,,,,,,,,,,,,
"    (Includes the Metropolitan Divisions of Edison, NJ; Nassau-Suffolk County, NY; Newark-Union, NJ-PA; and New York-Wayne-White Plains, NY-NJ.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            New York, NY","8,098,066","59,448",597,"1,609","25,989","31,253","176,767","28,293","124,846","23,628",,,,,,,
"            Newark, NJ","278,551","2,731",81,85,"1,304","1,261","13,861","2,281","5,562","6,018",,,,,,,
"            Edison Township, NJ","100,484",285,1,11,115,158,"2,633",465,"1,755",413,,,,,,,
"            Wayne Township, NJ","55,241",39,0,2,8,29,"1,480",105,"1,204",171,,,,,,,
"            White Plains, NY","55,488",221,2,9,81,129,"1,669",134,"1,452",83,,,,,,,
"            Union Township, NJ","55,849",161,1,9,89,62,"2,022",349,"1,281",392,,,,,,,
        Total area actually reporting,99.7%,"90,041",966,"2,807","39,104","47,164","403,542","69,262","274,626","59,654",,,,,,,
        Estimated total,100.0%,"90,184",967,"2,812","39,160","47,245","404,619","69,429","275,427","59,763",,,,,,,
"        Rate per 100,000 inhabitants",,483.3,5.2,15.1,209.9,253.2,"2,168.4",372.1,"1,476.1",320.3,,,,,,,
"    Edison, NJ M.D.","2,264,946",,,,,,,,,,,,,,,,
"        (Includes Middlesex, Monmouth, Ocean, and Somerset Counties.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"4,426",38,224,"1,432","2,732","45,758","8,782","33,317","3,659",,,,,,,
"            Rate per 100,000 inhabitants",,195.4,1.7,9.9,63.2,120.6,"2,020.3",387.7,"1,471.0",161.5,,,,,,,
"    Nassau-Suffolk, NY M.D.","2,808,315",,,,,,,,,,,,,,,,
        (Includes Nassau and Suffolk Counties.),,,,,,,,,,,,,,,,,
            Total area actually reporting,99.2%,"5,486",57,256,"2,134","3,039","51,397","8,166","37,565","5,666",,,,,,,
            Estimated total,100.0%,"5,542",57,258,"2,157","3,070","51,813","8,232","37,872","5,709",,,,,,,
"            Rate per 100,000 inhabitants",,197.3,2.0,9.2,76.8,109.3,"1,845.0",293.1,"1,348.6",203.3,,,,,,,
"    Newark-Union, NJ-PA M.D.","2,144,145",,,,,,,,,,,,,,,,
"        (Includes Essex, Hunterdon, Morris, Sussex, and Union Counties, NJ and Pike County, PA.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,99.6%,"9,619",176,345,"4,675","4,423","60,404","11,657","32,236","16,511",,,,,,,
            Estimated total,100.0%,"9,637",176,346,"4,680","4,435","60,559","11,678","32,356","16,525",,,,,,,
"            Rate per 100,000 inhabitants",,449.5,8.2,16.1,218.3,206.8,"2,824.4",544.6,"1,509.0",770.7,,,,,,,
"    New York-Wayne-White Plains, NY-NJ M.D.","11,442,087",,,,,,,,,,,,,,,,
"        (Includes Bergen, Hudson, and Passaic Counties, NJ and Bronx, Kings, New York, Putnam, Queens, Richmond, Rockland, and Westchester Counties, NY.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,99.8%,"70,510",695,"1,982","30,863","36,970","245,983","40,657","171,508","33,818",,,,,,,
            Estimated total,100.0%,"70,579",696,"1,984","30,891","37,008","246,489","40,737","171,882","33,870",,,,,,,
"            Rate per 100,000 inhabitants",,616.8,6.1,17.3,270.0,323.4,"2,154.2",356.0,"1,502.2",296.0,,,,,,,
"Niles-Benton Harbor, MI M.S.A.","162,762",,,,,,,,,,,,,,,,
    (Includes Berrien County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Niles,"12,009",74,0,17,8,49,729,132,543,54,,,,,,,
            Benton Harbor,"11,084",321,2,14,28,277,674,239,344,91,,,,,,,
        Total area actually reporting,99.6%,779,5,113,76,585,"5,047","1,081","3,618",348,,,,,,,
        Estimated total,100.0%,780,5,113,76,586,"5,065","1,084","3,631",350,,,,,,,
"        Rate per 100,000 inhabitants",,479.2,3.1,69.4,46.7,360.0,"3,111.9",666.0,"2,230.9",215.0,,,,,,,
"Ocala, FL M.S.A.","277,542", ,,,,, ,,,,,,,,,,
    (Includes Marion County.),,,,,,,,,,,,,,,,,
        City of Ocala,"47,790",645,2,39,165,439,"3,674",926,"2,520",228,,,,,,,
        Total area actually reporting,100.0%,"2,023",10,161,254,"1,598","8,720","2,513","5,619",588,,,,,,,
"        Rate per 100,000 inhabitants",,728.9,3.6,58.0,91.5,575.8,"3,141.9",905.4,"2,024.6",211.9,,,,,,,
"Ocean City, NJ M.S.A. ","102,584", ,,,,, ,,,,,,,,,,
    (Includes Cape May County.),,,,,,,,,,,,,,,,,
        City of Ocean City,"15,603",23,0,2,9,12,875,162,706,7,,,,,,,
        Total area actually reporting,100.0%,338,2,21,70,245,"4,180",936,"3,100",144,,,,,,,
"        Rate per 100,000 inhabitants",,329.5,1.9,20.5,68.2,238.8,"4,074.7",912.4,"3,021.9",140.4,,,,,,,
"Odessa, TX M.S.A.","124,214", ,,,,, ,,,,,,,,,,
    (Includes Ector County.),,,,,,,,,,,,,,,,,
        City of Odessa,"92,375",588,3,12,65,508,"4,639",826,"3,608",205,,,,,,,
        Total area actually reporting,100.0%,721,6,19,76,620,"6,171","1,082","4,804",285,,,,,,,
"        Rate per 100,000 inhabitants",,580.4,4.8,15.3,61.2,499.1,"4,968.0",871.1,"3,867.5",229.4,,,,,,,
"Oklahoma City, OK M.S.A.","1,126,991", ,,,,, ,,,,,,,,,,
"    (Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties.)",,,,,,,,,,,,,,,,,
        City of Oklahoma City,"521,681","4,642",49,365,"1,381","2,847","47,595","8,300","35,367","3,928",,,,,,,
        Total area actually reporting,100.0%,"6,353",67,547,"1,662","4,077","66,331","12,813","48,299","5,219",,,,,,,
"        Rate per 100,000 inhabitants",,563.7,5.9,48.5,147.5,361.8,"5,885.7","1,136.9","4,285.7",463.1,,,,,,,
"Olympia, WA M.S.A.","219,880", ,,,,, ,,,,,,,,,,
    (Includes Thurston County.),,,,,,,,,,,,,,,,,
        City of Olympia ,"43,967",145,0,38,32,75,"2,189",303,"1,724",162,,,,,,,
        Total area actually reporting,100.0%,578,4,108,91,375,"7,443","1,658","5,191",594,,,,,,,
"        Rate per 100,000 inhabitants",,262.9,1.8,49.1,41.4,170.5,"3,385.0",754.0,"2,360.8",270.1,,,,,,,
"Omaha-Council Bluffs, NE-IA M.S.A.","788,655",,,,,,,,,,,,,,,,
"    (Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders, and Washington Counties, NE.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Omaha, NE","401,692","2,627",35,179,896,"1,517","24,512","3,449","16,869","4,194",,,,,,,
"            Council Bluffs, IA ","58,786",497,5,71,78,343,"6,138","1,005","4,271",862,,,,,,,
        Total area actually reporting,97.3%,"3,496",43,304,"1,001","2,148","37,543","5,743","26,057","5,743",,,,,,,
        Estimated total,100.0%,"3,523",43,307,"1,004","2,169","37,929","5,820","26,337","5,772",,,,,,,
"        Rate per 100,000 inhabitants",,446.7,5.5,38.9,127.3,275.0,"4,809.3",738.0,"3,339.5",731.9,,,,,,,
"Orlando, FL M.S.A.","1,784,264", ,,,,, ,,,,,,,,,,
"    (Includes Lake, Orange, Osceola, and Seminole Counties.)",,,,,,,,,,,,,,,,,
        City of Orlando,"197,268","3,322",21,136,849,"2,316","17,024","3,593","11,511","1,920",,,,,,,
        Total area actually reporting,100.0%,"13,540",90,745,"3,034","9,671","80,987","19,872","52,769","8,346",,,,,,,
"        Rate per 100,000 inhabitants",,758.9,5.0,41.8,170.0,542.0,"4,539.0","1,113.7","2,957.5",467.8,,,,,,,
"Oshkosh-Neenah, WI M.S.A.","159,306",,,,,,,,,,,,,,,,
    (Includes Winnebago County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Oshkosh,"63,827",122,0,8,23,91,"2,286",324,"1,888",74,,,,,,,
            Neenah,"24,615",18,0,4,3,11,493,70,409,14,,,,,,,
        Total area actually reporting,100.0%,202,2,26,29,145,"4,153",636,"3,387",130,,,,,,,
"        Rate per 100,000 inhabitants",,126.8,1.3,16.3,18.2,91.0,"2,606.9",399.2,"2,126.1",81.6,,,,,,,
"Owensboro, KY M.S.A.","110,986", ,,,,, ,,,,,,,,,,
"    (Includes Daviess, Hancock, and McLean Counties.)",,,,,,,,,,,,,,,,,
        City of Owensboro,"54,506",172,0,7,53,112,"2,687",537,"2,049",101,,,,,,,
        Total area actually reporting,83.1%,232,1,7,59,165,"3,239",716,"2,397",126,,,,,,,
        Estimated total,100.0%,279,1,16,68,194,"3,748",828,"2,769",151,,,,,,,
"        Rate per 100,000 inhabitants",,251.4,0.9,14.4,61.3,174.8,"3,377.0",746.0,"2,494.9",136.1,,,,,,,
"Oxnard-Thousand Oaks-Ventura, CA M.S.A.","792,144",,,,,,,,,,,,,,,,
    (Includes Ventura County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Oxnard,"179,851",808,22,37,352,397,"4,719",975,"3,156",588,,,,,,,
            Thousand Oaks,"123,987",201,1,12,38,150,"1,785",332,"1,311",142,,,,,,,
            Ventura,"104,706",261,3,21,96,141,"3,968",764,"2,855",349,,,,,,,
            Camarillo,"60,068",98,1,10,15,72,"1,071",224,772,75,,,,,,,
        Total area actually reporting,100.0%,"2,029",42,129,645,"1,213","16,369","3,479","11,170","1,720",,,,,,,
"        Rate per 100,000 inhabitants",,256.1,5.3,16.3,81.4,153.1,"2,066.4",439.2,"1,410.1",217.1,,,,,,,
"Palm Bay-Melbourne-Titusville, FL M.S.A.","504,647",,,,,,,,,,,,,,,,
    (Includes Brevard County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Palm Bay,"84,558",576,8,72,64,432,"3,199",890,"2,130",179,,,,,,,
            Melbourne,"75,155",593,4,31,122,436,"3,628",881,"2,490",257,,,,,,,
            Titusville,"41,879",356,2,19,70,265,"1,726",548,937,241,,,,,,,
        Total area actually reporting,100.0%,"3,544",22,265,539,"2,718","18,182","4,798","12,060","1,324",,,,,,,
"        Rate per 100,000 inhabitants",,702.3,4.4,52.5,106.8,538.6,"3,602.9",950.8,"2,389.8",262.4,,,,,,,
"Panama City-Lynn Haven, FL M.S.A.","154,681",,,,,,,,,,,,,,,,
    (Includes Bay County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Panama City,"37,393",378,1,34,87,256,"2,818",490,"2,173",155,,,,,,,
            Lynn Haven,"13,508",45,1,1,7,36,477,119,331,27,,,,,,,
        Total area actually reporting,100.0%,"1,179",7,120,215,837,"8,711","1,855","6,406",450,,,,,,,
"        Rate per 100,000 inhabitants",,762.2,4.5,77.6,139.0,541.1,"5,631.6","1,199.2","4,141.4",290.9,,,,,,,
"Pascagoula, MS M.S.A.","153,562", ,,,,, ,,,,,,,,,,
    (Includes George and Jackson Counties.),,,,,,,,,,,,,,,,,
        City of Pascagoula,"26,076",136,1,46,72,17,"1,947",696,"1,114",137,,,,,,,
        Total area actually reporting,88.7%,435,4,89,161,181,"5,967","2,043","3,397",527,,,,,,,
        Estimated total,100.0%,470,5,93,168,204,"6,382","2,173","3,633",576,,,,,,,
"        Rate per 100,000 inhabitants",,306.1,3.3,60.6,109.4,132.8,"4,156.0","1,415.1","2,365.8",375.1,,,,,,,
"Pensacola-Ferry Pass-Brent, FL M.S.A.","432,254",,,,,,,,,,,,,,,,
    (Includes Escambia and Santa Rosa Counties.),,,,,,,,,,,,,,,,,
        City of Pensacola,"56,251",375,4,41,83,247,"2,625",600,"1,919",106,,,,,,,
        Total area actually reporting,100.0%,"2,233",12,193,417,"1,611","14,759","3,856","10,060",843,,,,,,,
"        Rate per 100,000 inhabitants",,516.6,2.8,44.6,96.5,372.7,"3,414.4",892.1,"2,327.3",195.0,,,,,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.","5,775,734",,,,,,,,,,,,,,,,
"    (Includes the Metropolitan Divisions of Camden, NJ; Philadelphia, PA; and Wilmington, DE-MD-NJ.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Philadelphia, PA","1,495,903","20,620",348,"1,004","9,617","9,651","62,454","10,656","37,864","13,934",,,,,,,
"            Camden, NJ","80,132","1,925",41,56,856,972,"5,279","1,459","2,671","1,149",,,,,,,
"            Wilmington, DE","73,411","1,088",7,37,416,628,"3,823",869,"2,192",762,,,,,,,
        Total area actually reporting,98.3%,"34,958",478,"1,916","14,152","18,412","161,859","29,034","108,835","23,990",,,,,,,
        Estimated total,100.0%,"35,200",480,"1,933","14,218","18,569","163,834","29,305","110,358","24,171",,,,,,,
"        Rate per 100,000 inhabitants",,609.4,8.3,33.5,246.2,321.5,"2,836.6",507.4,"1,910.7",418.5,,,,,,,
"    Camden, NJ M.D.","1,218,662",,,,,,,,,,,,,,,,
"        (Includes Burlington, Camden, and Gloucester Counties.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"4,838",68,276,"1,848","2,646","32,991","7,104","22,525","3,362",,,,,,,
"            Rate per 100,000 inhabitants",,397.0,5.6,22.6,151.6,217.1,"2,707.1",582.9,"1,848.3",275.9,,,,,,,
"    Philadelphia, PA M.D.","3,882,315",,,,,,,,,,,,,,,,
"        (Includes Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,97.5%,"26,031",391,"1,418","11,054","13,168","106,444","17,003","71,517","17,924",,,,,,,
            Estimated total,100.0%,"26,273",393,"1,435","11,120","13,325","108,419","17,274","73,040","18,105",,,,,,,
"            Rate per 100,000 inhabitants",,676.7,10.1,37.0,286.4,343.2,"2,792.6",444.9,"1,881.4",466.3,,,,,,,
"    Wilmington, DE-MD-NJ M.D.","674,757",,,,,,,,,,,,,,,,
"        (Includes New Castle County, DE; Cecil County, MD; and Salem County, NJ.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"4,089",19,222,"1,250","2,598","22,424","4,927","14,793","2,704",,,,,,,
"            Rate per 100,000 inhabitants",,606.0,2.8,32.9,185.3,385.0,"3,323.3",730.2,"2,192.3",400.7,,,,,,,
"Phoenix-Mesa-Scottsdale, AZ M.S.A.1","3,579,924",,,,,,,,,,,,,,,,
    (Includes Maricopa and Pinal Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Phoenix,"1,403,228","9,722",241,526,"3,676","5,279","97,823","17,104","55,068","25,651",,,,,,,
            Mesa,"436,569","2,346",14,116,431,"1,785","26,127","4,112","17,452","4,563",,,,,,,
            Scottsdale,"220,697",493,7,62,163,261,"9,475","2,315","5,659","1,501",,,,,,,
            Tempe,"163,143","1,013",7,74,299,633,"14,887","2,430","9,756","2,701",,,,,,,
        Total area actually reporting,98.5%,"17,926",328,"1,146","5,536","10,916","206,736","39,755","122,399","44,582",,,,,,,
        Estimated total,100.0%,"18,132",329,"1,163","5,581","11,059","209,519","40,359","124,131","45,029",,,,,,,
"        Rate per 100,000 inhabitants",,506.5,9.2,32.5,155.9,308.9,"5,852.6","1,127.4","3,467.4","1,257.8",,,,,,,
"Pine Bluff, AR M.S.A.1","106,774", ,,,,, ,,,,,,,,,,
"    (Includes Cleveland, Jefferson, and Lincoln Counties.)",,,,,,,,,,,,,,,,,
        City of Pine Bluff ,"54,482",578,16,44,150,368,"4,530","1,198","2,930",402,,,,,,,
        Total area actually reporting,100.0%,703,18,52,163,470,"5,271","1,596","3,245",430,,,,,,,
"        Rate per 100,000 inhabitants",,658.4,16.9,48.7,152.7,440.2,"4,936.6","1,494.7","3,039.1",402.7,,,,,,,
"Pittsburgh, PA M.S.A.","2,424,149", ,,,,, ,,,,,,,,,,
"    (Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties.)",,,,,,,,,,,,,,,,,
        City of Pittsburgh ,"335,302","3,559",67,136,"1,635","1,721","16,435","3,180","10,610","2,645",,,,,,,
        Total area actually reporting,86.8%,"7,991",110,470,"2,740","4,671","51,558","9,625","36,524","5,409",,,,,,,
        Estimated total,100.0%,"8,715",116,522,"2,926","5,151","58,368","10,605","41,852","5,911",,,,,,,
"        Rate per 100,000 inhabitants",,359.5,4.8,21.5,120.7,212.5,"2,407.8",437.5,"1,726.5",243.8,,,,,,,
"Pittsfield, MA M.S.A.","133,579", ,,,,, ,,,,,,,,,,
    (Includes Berkshire County.),,,,,,,,,,,,,,,,,
        City of Pittsfield,"45,062",197,3,13,15,166,711,109,441,161,,,,,,,
        Total area actually reporting,86.7%,422,4,43,30,345,"2,193",573,"1,368",252,,,,,,,
        Estimated total,100.0%,445,4,44,33,364,"2,363",615,"1,475",273,,,,,,,
"        Rate per 100,000 inhabitants",,333.1,3.0,32.9,24.7,272.5,"1,769.0",460.4,"1,104.2",204.4,,,,,,,
"Pocatello, ID M.S.A.","84,746", ,,,,, ,,,,,,,,,,
    (Includes Bannock and Power Counties.),,,,,,,,,,,,,,,,,
        City of Pocatello ,"52,205",138,1,19,8,110,"1,752",204,"1,464",84,,,,,,,
        Total area actually reporting,100.0%,229,1,28,10,190,"2,654",342,"2,201",111,,,,,,,
"        Rate per 100,000 inhabitants",,270.2,1.2,33.0,11.8,224.2,"3,131.7",403.6,"2,597.2",131.0,,,,,,,
"Portland-South Portland-Biddeford, ME M.S.A.","504,909",,,,,,,,,,,,,,,,
"    (Includes Cumberland, Sagadahoc, and York Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Portland,"64,438",242,1,51,101,89,"3,036",676,"2,191",169,,,,,,,
            South Portland,"23,457",43,0,11,9,23,"1,214",108,"1,065",41,,,,,,,
            Biddeford,"21,874",63,0,18,17,28,877,110,734,33,,,,,,,
        Total area actually reporting,100.0%,638,3,160,174,301,"12,614","2,424","9,583",607,,,,,,,
"        Rate per 100,000 inhabitants",,126.4,0.6,31.7,34.5,59.6,"2,498.3",480.1,"1,898.0",120.2,,,,,,,
"Portland-Vancouver-Beaverton, OR-WA M.S.A.1","2,037,963",,,,,,,,,,,,,,,,
"    (Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark and Skamania Counties, WA.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Portland, OR","545,271","4,436",27,310,"1,367","2,732","41,951","6,484","29,599","5,868",,,,,,,
"            Vancouver, WA1","151,353",642,2,128,164,348,"8,723","1,283","6,244","1,196",,,,,,,
"            Beaverton, OR","80,631",163,2,24,55,82,"3,398",471,"2,516",411,,,,,,,
"            Hillsboro, OR","76,766",182,0,30,70,82,"3,622",444,"2,810",368,,,,,,,
        Total area actually reporting,98.7%,"7,317",40,852,"2,169","4,256","100,245","15,837","71,713","12,695",,,,,,,
        Estimated total,100.0%,"7,357",40,858,"2,177","4,282","101,086","15,999","72,293","12,794",,,,,,,
"        Rate per 100,000 inhabitants",,361.0,2.0,42.1,106.8,210.1,"4,960.1",785.0,"3,547.3",627.8,,,,,,,
"Port St. Lucie-Fort Pierce, FL M.S.A.","343,818",,,,,,,,,,,,,,,,
    (Includes Martin and St. Lucie Counties.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Port St. Lucie,"100,342",281,1,17,30,233,"2,699",683,"1,906",110,,,,,,,
            Fort Pierce,"38,684",830,15,57,249,509,"3,448","1,043","2,132",273,,,,,,,
        Total area actually reporting,100.0%,"2,063",21,128,456,"1,458","12,482","3,334","8,331",817,,,,,,,
"        Rate per 100,000 inhabitants",,600.0,6.1,37.2,132.6,424.1,"3,630.4",969.7,"2,423.1",237.6,,,,,,,
"Poughkeepsie-Newburgh-Middletown, NY M.S.A.","645,621",,,,,,,,,,,,,,,,
    (Includes Dutchess and Orange Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Poughkeepsie,"30,124",348,2,26,131,189,"1,162",257,822,83,,,,,,,
            Newburgh,"28,430",260,2,26,57,175,"1,047",316,624,107,,,,,,,
            Middletown,"25,819",84,2,11,38,33,656,94,527,35,,,,,,,
        Total area actually reporting,96.2%,"1,539",11,130,384,"1,014","11,758","2,100","9,007",651,,,,,,,
        Estimated total,100.0%,"1,585",11,132,400,"1,042","12,272","2,175","9,411",686,,,,,,,
"        Rate per 100,000 inhabitants",,245.5,1.7,20.4,62.0,161.4,"1,900.8",336.9,"1,457.7",106.3,,,,,,,
"Prescott, AZ M.S.A.","183,138", ,,,,, ,,,,,,,,,,
    (Includes Yavapai County.),,,,,,,,,,,,,,,,,
        City of Prescott,"37,127",159,1,7,24,127,"2,146",413,"1,627",106,,,,,,,
        Total area actually reporting,95.2%,683,6,37,48,592,"6,603","1,508","4,606",489,,,,,,,
        Estimated total,100.0%,717,6,40,55,616,"7,065","1,608","4,894",563,,,,,,,
"        Rate per 100,000 inhabitants",,391.5,3.3,21.8,30.0,336.4,"3,857.7",878.0,"2,672.3",307.4,,,,,,,
"Providence-New Bedford-Fall River, RI-MA M.S.A.","1,620,073",,,,,,,,,,,,,,,,
"    (Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties, RI.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Providence, RI","176,960","1,395",18,133,515,729,"11,083","1,682","6,756","2,645",,,,,,,
"            New Bedford, MA","94,170",679,11,104,234,330,"2,666",945,"1,187",534,,,,,,,
