Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2004",,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,
    (Includes Lee County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Cape Coral,"121,375",328,4,25,43,256,"3,474",882,"2,359",233,,,,,,,
            Fort Myers,"52,162","1,030",15,40,302,673,"3,680",641,"2,358",681,,,,,,,
        Total area actually reporting,100.0%,"2,908",31,175,757,"1,945","18,259","4,618","11,432","2,209",,,,,,,
"        Rate per 100,000 inhabitants",,578.0,6.2,34.8,150.5,386.6,"3,629.0",917.8,"2,272.1",439.0,,,,,,,
"Carson City, NV M.S.A.","57,621", ,,,,, ,,,,,,,,,,
    (Includes Carson City.),,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,293,1,0,24,268,"1,664",374,"1,076",214,,,,,,,
"        Rate per 100,000 inhabitants",,508.5,1.7,0.0,41.7,465.1,"2,887.8",649.1,"1,867.4",371.4,,,,,,,
"Casper, WY M.S.A.","68,930", ,,,,, ,,,,,,,,,,
    (Includes Natrona County.),,,,,,,,,,,,,,,,,
        City of Casper,"51,166",108,0,7,13,88,"2,708",501,"2,064",143,,,,,,,
        Total area actually reporting,100.0%,132,0,7,16,109,"3,355",643,"2,528",184,,,,,,,
"        Rate per 100,000 inhabitants",,191.5,0.0,10.2,23.2,158.1,"4,867.3",932.8,"3,667.5",266.9,,,,,,,
"Cedar Rapids, IA M.S.A.","243,601", ,,,,, ,,,,,,,,,,
"    (Includes Benton, Jones, and Linn Counties.)",,,,,,,,,,,,,,,,,
        City of Cedar Rapids,"122,974",371,0,41,83,247,"6,684","1,348","5,020",316,,,,,,,
        Total area actually reporting,96.1%,516,1,52,84,379,"8,089","1,820","5,872",397,,,,,,,
        Estimated total,100.0%,533,1,54,86,392,"8,346","1,867","6,071",408,,,,,,,
"        Rate per 100,000 inhabitants",,218.8,0.4,22.2,35.3,160.9,"3,426.1",766.4,"2,492.2",167.5,,,,,,,
"Charleston, WV M.S.A.","307,683", , ,,,,,,,,,,,,,,
"    (Includes Boone, Clay, Kanawha, Lincoln, and Putnam Counties.)",,,,,,,,,,,,,,,,,
        City of Charleston,"51,536",800,15,16,157,612,"4,026",951,"2,657",418,,,,,,,
        Total area actually reporting,91.0%,"1,390",22,56,233,"1,079","11,608","2,923","7,560","1,125",,,,,,,
        Estimated total,100.0%,"1,450",23,60,240,"1,127","12,218","3,072","7,970","1,176",,,,,,,
"        Rate per 100,000 inhabitants",,471.3,7.5,19.5,78.0,366.3,"3,971.0",998.4,"2,590.3",382.2,,,,,,,
"Charleston-North Charleston, SC M.S.A.","578,649",,,,,,,,,,,,,,,,
"    (Includes Berkeley, Charleston, and Dorchester Counties.)",, ,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Charleston,"102,264","1,046",9,51,244,742,"5,441",928,"4,007",506,,,,,,,
            North Charleston,"82,579","1,286",6,65,408,807,"6,345","1,218","4,346",781,,,,,,,
        Total area actually reporting,100.0%,"4,713",26,259,948,"3,480","24,711","4,981","17,283","2,447",,,,,,,
"        Rate per 100,000 inhabitants",,814.5,4.5,44.8,163.8,601.4,"4,270.5",860.8,"2,986.8",422.9,,,,,,,
"Charlotte-Gastonia-Concord, NC-SC M.S.A.","1,459,677",,,,,,,,,,,,,,,,
"    (Includes Anson, Cabarrus, Gaston, Mecklenburg, and Union Counties, NC and York County, SC.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Charlotte-Mecklenburg, NC","661,883","7,275",59,312,"2,786","4,118","46,927","12,021","28,129","6,777",,,,,,,
"            Gastonia, NC","68,861",747,7,40,273,427,"6,407","1,258","4,600",549,,,,,,,
"            Concord, NC","59,882",170,3,11,82,74,"2,940",516,"2,243",181,,,,,,,
"            Rock Hill, SC","56,803",711,4,27,124,556,"2,961",556,"2,186",219,,,,,,,
        Total area actually reporting,90.7%,"10,818",92,515,"3,588","6,623","74,819","18,238","47,792","8,789",,,,,,,
        Estimated total,100.0%,"11,142",98,542,"3,657","6,845","78,769","19,475","50,255","9,039",,,,,,,
"        Rate per 100,000 inhabitants",,763.3,6.7,37.1,250.5,468.9,"5,396.3","1,334.2","3,442.9",619.2,,,,,,,
"Charlottesville, VA M.S.A.","183,439", ,,,,, ,,,,,,,,,,
"    (Includes Albemarle, Fluvanna, Greene, and Nelson Counties and Charlottesville City.)",,,,,,,,,,,,,,,,,
        City of Charlottesville,"39,552",322,4,29,69,220,"1,621",221,"1,250",150,,,,,,,
        Total area actually reporting,100.0%,514,6,69,95,344,"4,284",569,"3,427",288,,,,,,,
"        Rate per 100,000 inhabitants",,280.2,3.3,37.6,51.8,187.5,"2,335.4",310.2,"1,868.2",157.0,,,,,,,
"Chattanooga, TN-GA M.S.A.","491,744", ,,,,, , ,,,,,,,,,
"    (Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN.)",,,,,,,,,,,,,,,,,
"        City of Chattanooga, TN","156,457","2,001",11,124,486,"1,380","14,339","2,604","10,285","1,450",,,,,,,
        Total area actually reporting,97.1%,"2,961",22,178,573,"2,188","24,297","4,723","17,268","2,306",,,,,,,
        Estimated total,100.0%,"3,003",23,181,589,"2,210","24,769","4,841","17,554","2,374",,,,,,,
"        Rate per 100,000 inhabitants",,610.7,4.7,36.8,119.8,449.4,"5,037.0",984.5,"3,569.7",482.8,,,,,,,
"Cheyenne, WY M.S.A.","84,972", ,,,,, ,,,,,,,,,,
    (Includes Laramie County.),,,,,,,,,,,,,,,,,
        City of Cheyenne,"54,948",104,0,20,16,68,"2,504",324,"2,092",88,,,,,,,
        Total area actually reporting,100.0%,161,1,32,17,111,"3,072",428,"2,528",116,,,,,,,
"        Rate per 100,000 inhabitants",,189.5,1.2,37.7,20.0,130.6,"3,615.3",503.7,"2,975.1",136.5,,,,,,,
"Chico, CA M.S.A.","213,444", ,,,,, ,,,,,,,,,,
    (Includes Butte County.),,,,,,,,,,,,,,,,,
        City of Chico,"68,288",251,3,50,71,127,"2,788",717,"1,532",539,,,,,,,
        Total area actually reporting,100.0%,752,6,92,129,525,"8,265","2,452","4,393","1,420",,,,,,,
"        Rate per 100,000 inhabitants",,352.3,2.8,43.1,60.4,246.0,"3,872.2","1,148.8","2,058.2",665.3,,,,,,,
"Cincinnati-Middletown, OH-KY-IN M.S.A.","2,053,736",,,,,,,,,,,,,,,,
"    (Includes Dearborn, Franklin, and Ohio Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH.) ",,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
"            Cincinnati, OH","318,005","3,651",64,310,"2,405",872,"22,723","5,575","14,288","2,860",,,,,,,
"            Middletown, OH","52,046",154,1,22,58,73,"3,435",709,"2,591",135,,,,,,,
        Total area actually reporting,89.8%,"6,941",96,825,"3,377","2,643","68,889","13,770","49,325","5,794",,,,,,,
        Estimated total,100.0%,"7,403",99,878,"3,528","2,898","75,405","14,914","54,266","6,225",,,,,,,
"        Rate per 100,000 inhabitants",,360.5,4.8,42.8,171.8,141.1,"3,671.6",726.2,"2,642.3",303.1,,,,,,,
"Clarksville, TN-KY M.S.A.","238,825", ,,,,, ,,,,,,,,,,
"    (Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN.)",,,,,,,,,,,,,,,,,
"        City of Clarksville, TN","109,047",770,5,59,144,562,"5,144","1,042","3,907",195,,,,,,,
        Total area actually reporting,99.7%,"1,091",7,90,214,780,"8,479","1,965","6,130",384,,,,,,,
        Estimated total,100.0%,"1,093",7,90,215,781,"8,504","1,969","6,149",386,,,,,,,
"        Rate per 100,000 inhabitants",,457.7,2.9,37.7,90.0,327.0,"3,560.8",824.5,"2,574.7",161.6,,,,,,,
"Cleveland, TN M.S.A.","107,514", ,,,,, ,,,,,,,,,,
    (Includes Bradley and Polk Counties.),,,,,,,,,,,,,,,,,
        City of Cleveland,"37,747",378,1,19,44,314,"2,665",584,"1,902",179,,,,,,,
        Total area actually reporting,100.0%,711,2,33,54,622,"4,083","1,058","2,710",315,,,,,,,
"        Rate per 100,000 inhabitants",,661.3,1.9,30.7,50.2,578.5,"3,797.6",984.1,"2,520.6",293.0,,,,,,,
"Coeur d'Alene, ID M.S.A.","119,797", ,,,,, ,,,,,,,,,,
    (Includes Kootenai County.),,,,,,,,,,,,,,,,,
        City of Coeur d'Alene,"37,996",171,0,30,11,130,"2,096",400,"1,566",130,,,,,,,
        Total area actually reporting,100.0%,332,1,51,18,262,"4,184",984,"2,936",264,,,,,,,
"        Rate per 100,000 inhabitants",,277.1,0.8,42.6,15.0,218.7,"3,492.6",821.4,"2,450.8",220.4,,,,,,,
"College Station-Bryan, TX M.S.A.","195,839",,,,,,,,,,,,,,,,
"    (Includes Brazos, Burleson, and Robertson Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            College Station,"74,771",197,0,49,21,127,"2,970",469,"2,420",81,,,,,,,
            Bryan,"68,912",700,0,49,101,550,"4,320",961,"3,140",219,,,,,,,
        Total area actually reporting,100.0%,"1,085",5,118,141,821,"9,081","1,881","6,826",374,,,,,,,
"        Rate per 100,000 inhabitants",,554.0,2.6,60.3,72.0,419.2,"4,637.0",960.5,"3,485.5",191.0,,,,,,,
"Colorado Springs, CO M.S.A.","578,642", ,,,,, ,,,,,,,,,,
    (Includes El Paso and Teller Counties.),,,,,,,,,,,,,,,,,
        City of Colorado Springs,"374,576","1,623",14,276,350,983,"20,346","3,813","14,445","2,088",,,,,,,
        Total area actually reporting,99.7%,"2,544",19,351,377,"1,797","24,456","4,658","17,359","2,439",,,,,,,
        Estimated total,100.0%,"2,549",19,352,378,"1,800","24,530","4,669","17,412","2,449",,,,,,,
"        Rate per 100,000 inhabitants",,440.5,3.3,60.8,65.3,311.1,"4,239.2",806.9,"3,009.1",423.2,,,,,,,
"Columbia, MO M.S.A.","152,457", ,,,,, ,,,,,,,,,,
    (Includes Boone and Howard Counties.),,,,,,,,,,,,,,,,,
        City of Columbia,"89,312",429,1,17,106,305,"3,017",428,"2,438",151,,,,,,,
        Total area actually reporting,100.0%,552,1,30,120,401,"4,471",712,"3,552",207,,,,,,,
"        Rate per 100,000 inhabitants",,362.1,0.7,19.7,78.7,263.0,"2,932.6",467.0,"2,329.8",135.8,,,,,,,
"Columbia, SC M.S.A.","679,650", ,,,,, ,,,,,,,,,,
"    (Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties.)",,,,,,,,,,,,,,,,,
        City of Columbia,"118,798","1,517",18,74,464,961,"9,272","1,703","6,750",819,,,,,,,
        Total area actually reporting,100.0%,"5,456",59,278,"1,125","3,994","31,535","6,117","22,765","2,653",,,,,,,
"        Rate per 100,000 inhabitants",,802.8,8.7,40.9,165.5,587.7,"4,639.9",900.0,"3,349.5",390.3,,,,,,,
"Columbus, GA-AL M.S.A.","291,367", ,,,,, ,,,,,,,,,,
"    (Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA.)",,,,,,,,,,,,,,,,,
"        City of Columbus, GA","188,261",904,25,30,395,454,"12,521","2,297","8,740","1,484",,,,,,,
        Total area actually reporting,98.5%,"1,122",33,53,448,588,"14,659","2,879","10,057","1,723",,,,,,,
        Estimated total,100.0%,"1,147",33,54,456,604,"14,909","2,920","10,241","1,748",,,,,,,
"        Rate per 100,000 inhabitants",,393.7,11.3,18.5,156.5,207.3,"5,116.9","1,002.2","3,514.8",599.9,,,,,,,
"Columbus, IN M.S.A.","72,831", ,,,,, ,,,,,,,,,,
    (Includes Bartholomew County.),,,,,,,,,,,,,,,,,
        City of Columbus,"39,322",87,0,9,12,66,"2,398",206,"2,104",88,,,,,,,
        Total area actually reporting,99.6%,108,0,10,15,83,"2,727",252,"2,380",95,,,,,,,
        Estimated total,100.0%,109,0,10,15,84,"2,739",254,"2,389",96,,,,,,,
"        Rate per 100,000 inhabitants",,149.7,0.0,13.7,20.6,115.3,"3,760.8",348.8,"3,280.2",131.8,,,,,,,
"Columbus, OH M.S.A.1","1,677,988", ,,,,, ,,,,,,,,,,
"    (Includes Delaware, Fairfield, Franklin, Licking, Madison, Morrow, Pickaway, and Union Counties.)",,,,,,,,,,,,,,,,,
        City of Columbus1 ,"729,911","5,925",88,574,"3,353","1,910","56,936","14,695","33,844","8,397",,,,,,,
        Total area actually reporting,95.6%,"7,340",116,850,"3,979","2,395","85,356","20,878","54,229","10,249",,,,,,,
        Estimated total,100.0%,"7,457",118,870,"4,020","2,449","87,324","21,254","55,694","10,376",,,,,,,
"        Rate per 100,000 inhabitants",,444.4,7.0,51.8,239.6,145.9,"5,204.1","1,266.6","3,319.1",618.4,,,,,,,
"Corpus Christi, TX M.S.A.","413,663", ,,,,, ,,,,,,,,,,
"    (Includes Aransas, Nueces, and San Patricio Counties.)",,,,,,,,,,,,,,,,,
        City of Corpus Christi,"283,898","1,996",25,214,531,"1,226","19,940","3,985","14,893","1,062",,,,,,,
        Total area actually reporting,100.0%,"2,482",31,262,594,"1,595","25,768","5,540","18,964","1,264",,,,,,,
"        Rate per 100,000 inhabitants",,600.0,7.5,63.3,143.6,385.6,"6,229.2","1,339.3","4,584.4",305.6,,,,,,,
"Corvallis, OR M.S.A.","80,115", ,,,,, ,,,,,,,,,,
    (Includes Benton County.),,,,,,,,,,,,,,,,,
        City of Corvallis,"50,619",85,1,20,19,45,"2,023",297,"1,625",101,,,,,,,
        Total area actually reporting,100.0%,145,1,27,29,88,"3,106",521,"2,406",179,,,,,,,
"        Rate per 100,000 inhabitants",,181.0,1.2,33.7,36.2,109.8,"3,876.9",650.3,"3,003.2",223.4,,,,,,,
"Cumberland, MD-WV M.S.A.","101,547", ,,,,, ,,,,,,,,,,
"    (Includes Allegany County, MD and Mineral County, WV.)", , ,,,,,,,,,,,,,,,
"        City of Cumberland, MD","21,019",212,0,17,22,173,"1,073",240,808,25,,,,,,,
        Total area actually reporting,98.4%,403,0,27,35,341,"2,414",593,"1,746",75,,,,,,,
        Estimated total,100.0%,407,0,27,36,344,"2,464",603,"1,783",78,,,,,,,
"        Rate per 100,000 inhabitants",,400.8,0.0,26.6,35.5,338.8,"2,426.5",593.8,"1,755.8",76.8,,,,,,,
"Dallas-Fort Worth-Arlington, TX M.S.A.","5,683,559",,,,,,,,,,,,,,,,
    (Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington.),,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Dallas,"1,228,613","16,165",248,588,"7,466","7,863","94,066","23,126","55,059","15,881",,,,,,,
            Fort Worth,"594,950","3,784",52,288,"1,415","2,029","38,692","8,569","26,492","3,631",,,,,,,
            Arlington,"360,970","1,893",14,200,662,"1,017","19,581","3,375","14,680","1,526",,,,,,,
            Plano,"246,056",649,5,45,141,458,"8,603","1,346","6,716",541,,,,,,,
            Irving,"197,721",815,10,52,249,504,"10,030","1,535","7,222","1,273",,,,,,,
            Carrollton,"118,674",246,2,5,77,162,"3,810",844,"2,553",413,,,,,,,
            Richardson,"101,208",258,2,14,96,146,"3,511",728,"2,501",282,,,,,,,
            Denton,"95,004",403,6,73,87,237,"3,761",620,"2,930",211,,,,,,,
            McKinney,"81,301",182,4,42,40,96,"1,856",372,"1,346",138,,,,,,,
        Total area actually reporting,99.9%,"31,529",414,"1,972","11,747","17,396","281,462","61,360","187,522","32,580",,,,,,,
        Estimated total,100.0%,"31,537",414,"1,973","11,749","17,401","281,560","61,379","187,594","32,587",,,,,,,
"        Rate per 100,000 inhabitants",,554.9,7.3,34.7,206.7,306.2,"4,953.9","1,079.9","3,300.6",573.4,,,,,,,
"      Dallas-Plano-Irving, TX M.D.","3,802,322",,,,,, , ,,,,,,,,,
"          (Includes Collin, Dallas, Delta, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties.)",,,,, , ,, ,,,,,,,,,
              Total area actually reporting,99.9%,"23,341",333,"1,212","9,228","12,568","189,310","42,279","122,118","24,913",,,,,,,
              Estimated total,100.0%,"23,349",333,"1,213","9,230","12,573","189,408","42,298","122,190","24,920",,,,,,,
"              Rate per 100,000 inhabitants",,614.1,8.8,31.9,242.7,330.7,"4,981.4","1,112.4","3,213.6",655.4,,,,,,,
"      Fort Worth-Arlington, TX M.D.","1,881,237",,,,,,,,,,,,,,,,
"          (Includes Johnson, Parker, Tarrant, and Wise Counties.)",,,,,,,,,,,,,,,,,
              Total area actually reporting,100.0%,"8,188",81,760,"2,519","4,828","92,152","19,081","65,404","7,667",,,,,,,
"              Rate per 100,000 inhabitants",,435.2,4.3,40.4,133.9,256.6,"4,898.5","1,014.3","3,476.6",407.6,,,,,,,
"Dalton, GA M.S.A.","129,399", ,,,,, ,,,,,,,,,,
    (Includes Murray and Whitfield Counties.),,,,,,,,,,,,,,,,,
        City of Dalton,"30,846",186,3,6,32,145,"2,046",263,"1,653",130,,,,,,,
        Total area actually reporting,99.5%,457,6,27,60,364,"5,503","1,096","3,943",464,,,,,,,
        Estimated total,100.0%,460,6,27,61,366,"5,536","1,101","3,968",467,,,,,,,
"        Rate per 100,000 inhabitants",,355.5,4.6,20.9,47.1,282.8,"4,278.2",850.9,"3,066.5",360.9,,,,,,,
"Danville, VA M.S.A.","109,709", ,,,,, ,,,,,,,,,,
    (Includes Pittsylvania County and Danville City.),,,,,,,,,,,,,,,,,
        City of Danville,"47,456",302,4,15,93,190,"2,239",274,"1,846",119,,,,,,,
        Total area actually reporting,100.0%,383,5,28,100,250,"2,815",493,"2,128",194,,,,,,,
"        Rate per 100,000 inhabitants",,349.1,4.6,25.5,91.2,227.9,"2,565.9",449.4,"1,939.7",176.8,,,,,,,
"Dayton, OH M.S.A.","847,808", ,,,,, ,,,,,,,,,,
"    (Includes Greene, Miami, Montgomery, and Preble Counties.)",,,,,,,,,,,,,,,,,
        City of Dayton,"162,024","1,630",32,126,913,559,"12,748","3,690","6,624","2,434",,,,,,,
        Total area actually reporting,78.4%,"2,369",40,307,"1,225",797,"29,991","6,925","19,314","3,752",,,,,,,
        Estimated total,100.0%,"2,620",43,355,"1,312",910,"34,510","7,856","22,603","4,051",,,,,,,
"        Rate per 100,000 inhabitants",,309.0,5.1,41.9,154.8,107.3,"4,070.5",926.6,"2,666.1",477.8,,,,,,,
"Decatur, AL M.S.A.","148,166", ,,,,, ,,,,,,,,,,
    (Includes Lawrence and Morgan Counties.),,,,,,,,,,,,,,,,,
        City of Decatur,"54,594",267,1,20,137,109,"3,921",710,"3,026",185,,,,,,,
        Total area actually reporting,96.4%,329,3,27,148,151,"5,290","1,163","3,889",238,,,,,,,
        Estimated total,100.0%,352,3,29,156,164,"5,536","1,214","4,066",256,,,,,,,
"        Rate per 100,000 inhabitants",,237.6,2.0,19.6,105.3,110.7,"3,736.3",819.4,"2,744.2",172.8,,,,,,,
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.","479,075",,,,,,,,,,,,,,,,
    (Includes Volusia County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Daytona Beach,"66,016","1,154",5,72,387,690,"5,779","1,597","3,200",982,,,,,,,
            Ormond Beach,"38,453",93,0,4,21,68,"1,097",289,721,87,,,,,,,
        Total area actually reporting,100.0%,"3,000",19,166,649,"2,166","18,143","4,626","11,344","2,173",,,,,,,
"        Rate per 100,000 inhabitants",,626.2,4.0,34.7,135.5,452.1,"3,787.1",965.6,"2,367.9",453.6,,,,,,,
"Denver-Aurora, CO M.S.A.","2,326,757",,,,,,,,,,,,,,,,
"    (Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties.) ",,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Denver,"563,688","4,490",87,243,"1,442","2,718","30,450","7,322","15,590","7,538",,,,,,,
            Aurora,"293,655","1,754",13,198,557,986,"15,140","2,669","9,999","2,472",,,,,,,
        Total area actually reporting,98.6%,"10,005",141,943,"2,786","6,135","98,355","18,412","62,377","17,566",,,,,,,
        Estimated total,100.0%,"10,098",142,956,"2,807","6,193","99,771","18,620","63,391","17,760",,,,,,,
"        Rate per 100,000 inhabitants",,434.0,6.1,41.1,120.6,266.2,"4,288.0",800.3,"2,724.4",763.3,,,,,,,
"Detroit-Warren-Livonia, MI M.S.A.1","4,498,370",,,,,,,,,,,,,,,,
    (Includes the Metropolitan Divisions of Detroit-Livonia-Dearborn and Warren-Farmington Hills-Troy.),,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Detroit,"914,353","15,913",385,719,"5,451","9,358","57,415","12,202","20,640","24,573",,,,,,,
            Warren1,"136,456",818,6,77,211,524,,738,"2,245",,,,,,,,
            Livonia1,"99,809",165,1,23,50,91,"2,314",325,"1,700",289,,,,,,,
            Dearborn,"96,983","1,063",2,17,157,887,"4,898",607,"3,255","1,036",,,,,,,
            Farmington Hills,"81,136",146,2,22,24,98,"1,636",239,"1,260",137,,,,,,,
            Troy,"81,333",72,0,10,20,42,"1,925",239,"1,569",117,,,,,,,
            Southfield,"77,739","1,023",1,30,127,865,"3,545",540,"2,192",813,,,,,,,
            Pontiac,"67,369","1,100",2,92,257,749,"2,863",848,"1,546",469,,,,,,,
            Taylor,"65,801",233,1,26,67,139,"2,910",448,"1,980",482,,,,,,,
        Total area actually reporting,99.5%,"27,471",449,"1,889","7,922","17,211",,"27,182","82,817",,,,,,,,
        Estimated total,100.0%,"27,533",449,"1,897","7,936","17,251",,"27,290","83,279",,,,,,,,
"        Rate per 100,000 inhabitants",,612.1,10.0,42.2,176.4,383.5,,606.7,"1,851.3",,,, ,,,,
"    Detroit-Livonia-Dearborn, MI M.D.1","2,035,346",,,, ,,,,,,,,,,,,
        (Includes Wayne County.),,, ,,,,,,,,,,,,,,
            Total area actually reporting,99.0%,"20,136",414,"1,071","6,542","12,109","92,411","17,857","43,310","31,244",,,,,,,
            Estimated total,100.0%,"20,193",414,"1,078","6,555","12,146","93,013","17,958","43,742","31,313",,,,,,,
"            Rate per 100,000 inhabitants",,992.1,20.3,53.0,322.1,596.8,"4,569.9",882.3,"2,149.1","1,538.5",,,,,,,
"    Warren-Farmington Hills-Troy, MI M.D.1","2,463,024",,,,,,,,,,,,,,,,
"        (Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties.)",,,,,,, ,,,,,,,,,,
            Total area actually reporting,99.9%,"7,335",35,818,"1,380","5,102",,"9,325","39,507",,,,,,,,
            Estimated total,100.0%,"7,340",35,819,"1,381","5,105",,"9,332","39,537",,,,,,,,
"            Rate per 100,000 inhabitants",,298.0,1.4,33.3,56.1,207.3,,378.9,"1,605.2",,,,,,,,
"Dothan, AL M.S.A.","134,208", ,,,,, ,,,,,,,,,,
"    (Includes Geneva, Henry, and Houston Counties.)", ,,,,,,,,,,,,,,,,
        City of Dothan,"59,647",285,9,58,122,96,"3,270",757,"2,354",159,,,,,,,
        Total area actually reporting,96.7%,434,11,71,135,217,"4,452","1,117","3,074",261,,,,,,,
