Table 6,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2002",,, ,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,
"Nashville, TN M.S.A.","1,254,684",, ,,,,,,,,,,,,,,
"    (Includes Cheatham, Davidson, Dickson, Robertson, Rutherford, Sumner, Williamson, and Wilson Counties.)",,,,,,, , , , , , ,,,,,
        City of:,,, ,, , , , , ,, ,,,,,,
            Nashville,"560,596","46,018",,"8,683","37,335",61,403,"2,081","6,138","7,468","25,082","4,785",,,,,
            Murfreesboro,"70,122","3,688",,473,"3,215",0,22,64,387,471,"2,544",200,,,,,
         Total area actually reporting,100.0%,"69,766",,"11,632","58,134",80,648,"2,370","8,534","11,634","40,231","6,269",,,,,
"         Rate per 100,000 inhabitants",,"5,560.4",,927.1,"4,633.4",6.4,51.6,188.9,680.2,927.2,"3,206.5",499.6,,,,,
"Newark, NJ M.S.A.","2,075,500",,,,,,,,,,,,,,,,
"    (Includes Essex, Morris, Sussex, Union, and Warren Counties.)",,,,,,,,,,,,,,,,,
         City of Newark,"279,269","17,814",,"3,193","14,621",65,88,"1,567","1,473","2,253","6,033","6,335",,,,,
         Total area actually reporting,100.0%,"72,485",,"10,752","61,733",134,394,"5,256","4,968","11,227","33,954","16,552",,,,,
"         Rate per 100,000 inhabitants",,"3,492.4", ,518.0,"2,974.4",6.5,19.0,253.2,239.4,540.9,"1,635.9",797.5,,,,,
"Newburgh, NY-PA M.S.A.","391,130",,,,,,,,,,,,,,,,
"    (Includes Orange County, NY and Pike County, PA.)",,,,,,,,,,,,,,,,,
"         City of Newburgh, NY","28,529","1,889", ,587,"1,302",7,23,179,378,349,860,93, ,,,,
         Total area actually reporting,94.8%,"8,824",,"1,184","7,640",17,72,302,793,"1,430","5,838",372,,,,,
         Estimated total,100.0%,"9,310",,"1,227","8,083",17,75,315,820,"1,494","6,186",403,,,,,
"         Rate per 100,000 inhabitants",,"2,380.3",,313.7,"2,066.6",4.3,19.2,80.5,209.6,382.0,"1,581.6",103.0,,,,,
"New Orleans, LA M.S.A.","1,341,821",,,,,,,,,,,,,,,,
"    (Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes.)",,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,
              New Orleans,"486,157","31,206",,"4,556","26,650",258,162,"1,994","2,142","4,759","14,325","7,566",,,,,
              Slidell,"25,774","2,398",,206,"2,192",3,16,41,146,259,"1,773",160,,,,,
         Total area actually reporting,99.9%,"69,399",,"9,279","60,120",327,392,"3,068","5,492","10,798","38,265","11,057",,,,,
         Estimated total,100.0%,"69,512",,"9,291","60,221",327,393,"3,070","5,501","10,818","38,340","11,063",,,,,
"         Rate per 100,000 inhabitants",,"5,180.4",,692.4,"4,488.0",24.4,29.3,228.8,410.0,806.2,"2,857.3",824.5,,,,,
"New York, NY M.S.A.","9,403,110",,,,,,,,,,,,,,,,
"    (Includes Bronx, Kings, New York, Putnam, Queens, Richmond, Rockland, and Westchester Counties.)",,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,
              New York,"8,084,693","250,630",,"63,839","186,791",587,"1,689","27,229","34,334","30,102","129,655","27,034",,,,,
              White Plains,"53,584","2,033",,198,"1,835",3,5,71,119,158,"1,564",113,,,,,
         Total area actually reporting,99.7%,"278,880",,"67,375","211,505",622,"1,798","28,520","36,435","33,871","148,225","29,409",,,,,
         Estimated total,100.0%,"279,590",,"67,436","212,154",622,"1,801","28,540","36,473","33,964","148,737","29,453",,,,,
"         Rate per 100,000 inhabitants",,"2,973.4",,717.2,"2,256.2",6.6,19.2,303.5,387.9,361.2,"1,581.8",313.2,,,,,
"Norfolk-Virginia Beach-Newport News, VA-NC M.S.A.","1,617,279",,,,,,,,,,,,,,,,
"    (Includes Chesapeake, Hampton, Newport News, Norfolk, Poquoson, Portsmouth, Suffolk, Virginia Beach, and Williamsburg Cities, Gloucester, Isle of Wight, James City, Mathews, and York Counties, VA",,,,,,,,,,,,,,,,,
"    and Currituck County, NC.)",,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,
"              Norfolk, VA","241,523","15,476",,"1,353","14,123",41,115,709,488,"1,758","10,738","1,627",,,,,
"              Virginia Beach, VA","438,175","16,067",,954,"15,113",3,132,443,376,"2,290","11,981",842,,,,,
"              Newport News,VA","185,622","9,936",,"1,351","8,585",20,106,420,805,"1,636","5,715","1,234",,,,,
"              Hampton,VA","150,885","6,209",,607,"5,602",9,38,291,269,961,"3,772",869,,,,,
"              Portsmouth, VA","103,620","7,015",,998,"6,017",11,38,425,524,"1,316","4,058",643,,,,,
"              Suffolk, VA","65,612","3,368",,430,"2,938",4,24,110,292,482,"2,282",174,,,,,
         Total area actually reporting,100.0%,"72,434",,"7,490","64,944",99,564,"2,799","4,028","10,603","48,075","6,266",,,,,
"         Rate per 100,000 inhabitants",,"4,478.8",,463.1,"4,015.6",6.1,34.9,173.1,249.1,655.6,"2,972.6",387.4,,,,,
"Oakland, CA M.S.A.","2,480,456",,,,,,,,,,,,,,,,
    (Includes Alameda and Contra Costa Counties.),,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,
              Oakland,"414,161","29,875",,"5,661","24,214",108,249,"2,452","2,852","4,252","13,703","6,259",,,,,
              Berkeley,"106,518","10,271",,729,"9,542",7,28,407,287,"1,514","6,687","1,341",,,,,
              Alameda,"74,914","2,928",,299,"2,629",2,9,90,198,408,"1,884",337,,,,,
         Total area actually reporting,100.0%,"121,462", ,"13,930","107,532",194,683,"5,765","7,288","18,040","67,219","22,273",,,,,
"         Rate per 100,000 inhabitants",,"4,896.8", ,561.6,"4,335.2",7.8,27.5,232.4,293.8,727.3,"2,709.9",897.9, ,,,,
"Ocala, FL M.S.A.","270,754",,,,,,,,,,,,,,,,
    (Includes Marion County.),,,,, , , , , , , , ,,,,,
         City of Ocala,"48,044","4,159",,671,"3,488",6,45,151,469,929,"2,350",209,,,,,
         Total area actually reporting,100.0%,"10,784",,"2,126","8,658",16,145,230,"1,735","2,613","5,492",553,,,,,
"         Rate per 100,000 inhabitants",,"3,983.0",,785.2,"3,197.7",5.9,53.6,84.9,640.8,965.1,"2,028.4",204.2,,,,,
"Odessa-Midland, TX M.S.A.","247,686",,,,,,,,,,,,,,,,
    (Includes Ector and Midland Counties.),,,,,,,,, ,, ,,,,,,
        City of:,,,, , , , , ,, ,, ,,,,,
            Odessa,"94,990","5,747",,539,"5,208",3,33,89,414,948,"4,020",240,,,,,
            Midland,"99,224","4,143",,561,"3,582",2,69,74,416,839,"2,545",198,,,,,
         Total area actually reporting,100.0%,"12,228", ,"1,266","10,962",7,110,171,978,"2,296","8,097",569,,,,,
"         Rate per 100,000 inhabitants",,"4,936.9",,511.1,"4,425.8",2.8,44.4,69.0,394.9,927.0,"3,269.1",229.7,,,,,
"Oklahoma City, OK M.S.A.","1,096,867",,,,,,,,,,,,,,,,
"    (Includes Canadian, Cleveland, Logan, McClain, Oklahoma, and Pottawatomie Counties.)",,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,
              Oklahoma City,"512,448","49,929",,"4,214","45,715",38,445,"1,169","2,562","8,314","33,686","3,715",,,,,
              Norman,"96,888","3,769",,224,"3,545",1,34,44,145,"1,057","2,352",136,,,,,
              Shawnee,"29,050","1,724",,199,"1,525",0,22,22,155,582,751,192,,,,,
         Total area actually reporting,100.0%,"70,930",,"5,960","64,970",51,656,"1,414","3,839","13,406","46,562","5,002",,,,,
"         Rate per 100,000 inhabitants",,"6,466.6",,543.4,"5,923.2",4.6,59.8,128.9,350.0,"1,222.2","4,245.0",456.0,,,,,
"Olympia, WA M.S.A.","213,507",,,,,,,,,,,,,,,,
    (Includes Thurston County.),,, ,, , , , , , , , ,,,,,
         City of Olympia ,"43,775","2,791",,144,"2,647",0,25,50,69,437,"2,005",205,,,,,
         Total area actually reporting,99.7%,"8,899",,624,"8,275",2,127,111,384,"1,770","5,885",620,,,,,
         Estimated total,100.0%,"8,932",,626,"8,306",2,127,112,385,"1,775","5,906",625,,,,,
"         Rate per 100,000 inhabitants",,"4,183.5",,293.2,"3,890.3",0.9,59.5,52.5,180.3,831.4,"2,766.2",292.7,,,,,
"Omaha, NE-IA M.S.A.","723,899",, ,,,,,,,,,,,,,,
"    (Includes Cass, Douglas, Sarpy, and Washington Counties, NE and Pottawatomie County, IA.)",,,,,,,,,,,,,,,,,
          City of:,,,,,,,,,,,,,,,,,
"               Omaha, NE","394,090","28,781",,"2,829","25,952",26,173,998,"1,632","3,220","18,490","4,242",,,,,
"               Council Bluffs, IA ","58,475","6,865",,521,"6,344",3,68,78,372,941,"4,641",762,,,,,
         Total area actually reporting,96.2%,"41,925",,"3,683","38,242",33,280,"1,130","2,240","5,100","27,508","5,634",,,,,
         Estimated total,100.0%,"42,643",,"3,723","38,920",33,284,"1,137","2,269","5,202","28,029","5,689",,,,,
"         Rate per 100,000 inhabitants",,"5,890.7",,514.3,"5,376.4",4.6,39.2,157.1,313.4,718.6,"3,871.9",785.9,,,,,
"Orange County, CA M.S.A.3","2,950,856",,,,,,,,,,,,,,,,
    (Includes Orange County.),,,, , , , , , , , , ,,,,,
          City of:,,,,,,,,,,,,,,,,,
               Santa Ana,"350,393","12,038",,"1,930","10,108",23,66,871,970,"1,225","6,485","2,398",,,,,
               Anaheim,"340,065","12,198",,"1,389","10,809",17,80,465,827,"1,995","6,945","1,869",,,,,
               Irvine,"148,328","3,624",,161,"3,463",1,20,62,78,867,"2,339",257,,,,,
         Total area actually reporting,100.0%,"82,277",,"8,206","74,071",77,448,"2,789","4,892","13,253","49,949","10,869",,,,,
"         Rate per 100,000 inhabitants",,"2,788.2", ,278.1,"2,510.2",2.6,15.2,94.5,165.8,449.1,"1,692.7",368.3,,,,,
"Orlando, FL M.S.A.","1,719,756",,,,,,,,,,,,,,,,
"    (Includes Lake, Orange, Osceola, and Seminole Counties.)",,,,,,,,,,,,, ,,,,
         City of Orlando,"194,454","21,133",,"3,619","17,514",15,121,"1,034","2,449","3,710","11,602","2,202",,,,,
         Total area actually reporting,100.0%,"98,196",,"14,045","84,151",78,684,"3,362","9,921","20,159","54,085","9,907",,,,,
"         Rate per 100,000 inhabitants",,"5,709.9",,816.7,"4,893.2",4.5,39.8,195.5,576.9,"1,172.2","3,144.9",576.1,,,,,
"Owensboro, KY M.S.A.","92,703",,,,,,,,,,,,,,,,
    (Includes Daviess County.),,,,,,,,,,,,,,,,,
         City of Owensboro,"54,751","2,582", ,141,"2,441",4,17,43,77,435,"1,913",93,,,,,
         Total area actually reporting,100.0%,"3,189",,219,"2,970",4,22,49,144,591,"2,256",123,,,,,
"         Rate per 100,000 inhabitants",,"3,440.0", ,236.2,"3,203.8",4.3,23.7,52.9,155.3,637.5,"2,433.6",132.7,,,,,
"Panama City, FL M.S.A.","154,994",,,,,,,,,,,,,,,,
    (Includes Bay County.),,,,,,,,,,,,,,,,,
         City of Panama City,"38,082","3,107",,325,"2,782",3,33,90,199,536,"2,107",139,,,,,
         Total area actually reporting,100.0%,"9,673",,"1,160","8,513",8,113,180,859,"1,722","6,392",399,,,,,
"         Rate per 100,000 inhabitants",,"6,240.9", ,748.4,"5,492.5",5.2,72.9,116.1,554.2,"1,111.0","4,124.0",257.4,,,,,
"Pensacola, FL M.S.A.","430,998",,,,,,,,,,,,,,,,
    (Includes Escambia and Santa Rosa Counties.),,,,, , , , , ,, , , ,,,,
         City of Pensacola,"58,827","3,121",,460,"2,661",1,36,101,322,622,"1,912",127,,,,,
         Total area actually reporting,100.0%,"18,235",,"2,580","15,655",20,221,540,"1,799","4,275","10,479",901,,,,,
"         Rate per 100,000 inhabitants",,"4,230.9",,598.6,"3,632.3",4.6,51.3,125.3,417.4,991.9,"2,431.3",209.0,,,,,
"Philadelphia, PA-NJ M.S.A.","5,144,034",,,,,,,,,,,,,,,,
"    (Includes Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, PA and Burlington, Camden, Gloucester, and Salem Counties, NJ.)",,,,,,,,,, , , , ,,,,
         City of:,,,,,,,,,,,,,,,,,
"               Philadelphia, PA","1,524,226","83,392",,"20,057","63,335",288,"1,035 ","8,869","9,865","11,244","38,789","13,302",,,,,
"               Camden, NJ","81,575","6,125",,"1,482","4,643",33,45 ,607,797,"1,155","2,407","1,081",,,,,
         Total area actually reporting,97.8%,"171,700",,"30,020","141,680",399,"1,697 ","11,970","15,954","24,864","95,927","20,889",,,,,
         Estimated total,100.0%,"174,365",,"30,274","144,091",401,"1,716 ","12,035","16,122","25,211","97,811","21,069",,,,,
"         Rate per 100,000 inhabitants",,"3,389.7", ,588.5,"2,801.1",7.8,33.4,234.0,313.4,490.1,"1,901.4",409.6,,,,,
"Phoenix-Mesa, AZ M.S.A.3","3,458,385",,,,,,,,,,,,,,,,
    (Includes Maricopa and Pinal Counties.),,,,, , , , , , , , ,,,,,
        City of:,,, ,,,,,,,,,,,,,,
            Phoenix,"1,404,938","109,916",,"10,223","99,693",177,410,"4,075","5,561","16,855","57,214","25,624",,,,,
            Mesa3,"421,547","33,335",,"2,887","30,448",22,129,590,"2,146","4,957","20,405","5,086",,,,,
            Tempe,"168,699","17,819",,"1,240","16,579",10,75,344,811,"2,360","11,004","3,215",,,,,
            Scottsdale,"215,578","10,134",,483,"9,651",1,63,171,248,"2,786","5,487","1,378",,,,,
         Total area actually reporting,98.2%,"232,994",,"19,542","213,452",281,935,"6,070","12,256","40,003","128,322","45,127",,,,,
         Estimated total,100.0%,"236,785",,"19,787","216,998",283,951,"6,125","12,428","40,741","130,580","45,677",,,,,
"         Rate per 100,000 inhabitants",,"6,846.7",,572.1,"6,274.5",8.2,27.5,177.1,359.4,"1,178.0","3,775.8","1,320.8", ,,,,
"Pine Bluff, AR M.S.A.","85,434",,,,,,,,,,,,,,,,
    (Includes Jefferson County.),,,,,,,,,,,,,,,,,
         City of Pine Bluff ,"55,841","5,286",,750,"4,536",10,47,230,463,"1,012","3,116",408,,,,,
         Total area actually reporting,100.0%,"6,020",,810,"5,210",14,49,233,514,"1,147","3,579",484,,,,,
"         Rate per 100,000 inhabitants",,"7,046.4",,948.1,"6,098.3",16.4,57.4,272.7,601.6,"1,342.6","4,189.2",566.5,,,,,
"Pittsburgh, PA M.S.A.","2,369,073",,,,,,,,,,,,,,,,
"    (Includes Allegheny, Beaver, Butler, Fayette, Washington, and Westmoreland Counties.)",,,,, , , , , , , , ,  ,,,,
         City of Pittsburgh ,"342,529","19,737",,"3,794","15,943",47,148,"1,616","1,983","3,298","10,108","2,537",,,,,
         Total area actually reporting,86.2%,"57,987",,"8,057","49,930",107,528,"2,647","4,775","9,653","34,904","5,373",,,,,
         Estimated total,100.0%,"65,671",,"8,789","56,882",114,582,"2,835","5,258","10,653","40,337","5,892",,,,,
"         Rate per 100,000 inhabitants",,"2,772.0",,371.0,"2,401.0",4.8,24.6,119.7,221.9,449.7,"1,702.6",248.7,,,,,
"Pocatello, ID M.S.A.","78,320",,,,, ,,,,,,,,,,,
    (Includes Bannock County.),,,,,,,,,,,,, ,,,,
         City of Pocatello ,"53,318","1,692",,146,"1,546",1,21,6,118,264,"1,208",74,,,,,
         Total area actually reporting,100.0%,"2,365",,247,"2,118",1,28,8,210,324,"1,709",85,,,,,
"         Rate per 100,000 inhabitants",,"3,019.7",,315.4,"2,704.3",1.3,35.8,10.2,268.1,413.7,"2,182.1",108.5,,,,,
"Portland, ME M.S.A.","259,783",,,,,,,,,,,,,,,,
    (Includes part of Cumberland and York Counties.),,,,,,,,,,,,, ,,,,
         City of Portland ,"65,234","3,525",,190,"3,335",3,42,60,85,636,"2,547",152,,,,,
         Total area actually reporting,100.0%,"8,180",,390,"7,790",5,105,90,190,"1,546","5,909",335,,,,,
"         Rate per 100,000 inhabitants",,"3,148.8",,150.1,"2,998.7",1.9,40.4,34.6,73.1,595.1,"2,274.6",129.0,,,,,
"Portland-Vancouver, OR-WA M.S.A.3","1,974,272",,,,,,,,,,,,,,,,
"    (Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark County, WA.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Portland, OR","544,604","43,327",,"4,512","38,815",20,354,"1,294","2,844","5,702","27,933","5,180",,,,,
"            Vancouver, WA3","147,819","7,773",,532,"7,241",1,100,155,276,"1,196","5,189",856,,,,,
         Total area actually reporting,100.0%,"100,596",,"7,350","93,246",41,855,"2,144","4,310","14,392","67,720","11,134",,,,,
"         Rate per 100,000 inhabitants",,"5,095.3", ,372.3,"4,723.1",2.1,43.3,108.6,218.3,729.0,"3,430.1",564.0,,,,,
"Portsmouth-Rochester, NH-ME M.S.A.","267,432",,,,,,,,,,,,,,,,
"    (Includes part of York County, ME and Rockingham and Strafford Counties, NH.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Portsmouth, NH","21,444",860,,55,805,0,20,13,22,97,653,55,,,,,
"            Rochester, NH","29,366",834,,61,773,0,41,3,17,82,658,33,,,,,
         Total area actually reporting,80.8%,"4,924",,300,"4,624",3,97,41,159,718,"3,643",263,,,,,
         Estimated total,100.0%,"5,800",,365,"5,435",3,110,49,203,862,"4,244",329,,,,,
"         Rate per 100,000 inhabitants",,"2,168.8", ,136.5,"2,032.3",1.1,41.1,18.3,75.9,322.3,"1,586.9",123.0,,,,,
"Providence-Fall River-Warwick, RI-MA M.S.A.","1,180,900",,,, , ,,,,,,,,,,,
"    (Includes part of Bristol, Kent, Newport, Providence, and Washington Counties, RI and part of Bristol County, MA.)",,,,,,, , , , , , ,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Providence, RI","177,162","13,864",,"1,302","12,562",23,109,550,620,"2,186","7,515","2,861",,,,,
"            Fall River, MA","93,078","4,869", ,926,"3,943",3,48,233,642,738,"2,620",585,,,,,
"            Warwick, RI","87,560","2,931",,129,"2,802",2,17,34,76,384,"2,084",334,,,,,
"            Pawtucket, RI","74,448","3,209",,260,"2,949",1,34,78,147,574,"1,917",458,,,,,
"            Woonsocket, RI","44,107","1,551",,207,"1,344",2,51,48,106,327,894,123,,,,,
"            Attleboro, MA","42,589",973,,123,850,0,7,17,99,197,547,106,,,,,
         Total area actually reporting,100.0%,"43,210",,"4,134","39,076",40,425,"1,157","2,512","7,131","26,353","5,592", ,,,,
"         Rate per 100,000 inhabitants",,"3,659.1", ,350.1,"3,309.0",3.4,36.0,98.0,212.7,603.9,"2,231.6",473.5,,,,,
"Provo-Orem, UT M.S.A.","382,248",,,,,,,,,,,,,,,,
    (Includes Utah County.),,,,,, ,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Provo ,"109,079","3,657",,165,"3,492",0,37,23,105,514,"2,789",189,,,,,
            Orem,"87,462","3,649",,66,"3,583",1,16,17,32,372,"3,042",169,,,,,
         Total area actually reporting,100.0%,"13,761",,402,"13,359",3,80,55,264,"2,076","10,598",685,,,,,
"         Rate per 100,000 inhabitants",,"3,600.0",,105.2,"3,494.9",0.8,20.9,14.4,69.1,543.1,"2,772.5",179.2,,,,,
"Pueblo, CO M.S.A.","148,224",,,, , ,,,,, ,,,,,,
    (Includes Pueblo County.),,,, ,,, , , , ,, ,,,,,
         City of Pueblo ,"106,995","6,145",,725,"5,420",6,27,164,528,"1,144","3,893",383,,,,,
         Total area actually reporting,100.0%,"7,410",,764,"6,646",7,31,174,552,"1,461","4,755",430,,,,,
"         Rate per 100,000 inhabitants",,"4,999.2",,515.4,"4,483.8",4.7,20.9,117.4,372.4,985.7,"3,208.0",290.1,,,,,
"Punta Gorda, FL M.S.A.","148,102",,,,,,,,,,,,,,,,
    (Includes Charlotte County.),,,,, ,, , , , , , ,,,,,
         City of Punta Gorda ,"15,000",466,,31,435,0,4,3,24,150,274,11,,,,,
         Total area actually reporting,100.0%,"4,839",,490,"4,349",2,34,54,400,"1,081","3,013",255,,,,,
"         Rate per 100,000 inhabitants",,"3,267.3",,330.9,"2,936.5",1.4,23.0,36.5,270.1,729.9,"2,034.4",172.2,,,,,
"Racine, WI M.S.A.","191,560",,,,,,,,,,,,,,,,
    (Includes Racine County.),,,,,,,,,,,,,,,,,
         City of Racine,"83,038 ","4,758",,406,"4,352",2,26,226,152,967,"3,027",358,,,,,
         Total area actually reporting,100.0%,"7,157",,473,"6,684",2,41,256,174,"1,284","4,931",469,,,,,
"         Rate per 100,000 inhabitants",,"3,736.2",,246.9,"3,489.2",1.0,21.4,133.6,90.8,670.3,"2,574.1",244.8,,,,,
"Raleigh-Durham-Chapel Hill, NC M.S.A.","1,227,913",,,,,,,,,,,,,,,,
"    (Includes Chatham, Durham, Franklin, Johnston, Orange, and Wake Counties.)",,,,, , , , , , , , ,,,,,
        City of:,, ,,,,,,,,,,,,,,,
            Raleigh ,"285,383","17,833",,"1,966","15,867",19,106,697,"1,144","3,836","10,692","1,339",,,,,
            Durham,"193,328","14,461",,"1,810","12,651",30,75,942,763,"3,088","8,483","1,080",,,,,
            Chapel Hill,"50,354","2,505", ,236,"2,269",1,6,81,148,403,"1,747",119,,,,,
         Total area actually reporting,99.5%,"59,442",,"5,562","53,880",72,285,"2,149","3,056","13,494","36,446","3,940",,,,,
         Estimated total,100.0%,"59,822",,"5,589","54,233",72,287,"2,157","3,073","13,568","36,709","3,956",,,,,
"         Rate per 100,000 inhabitants",,"4,871.8", ,455.2,"4,416.7",5.9,23.4,175.7,250.3,"1,105.0","2,989.5",322.2,,,,,
"Rapid City, SD M.S.A.","89,294",,,,,,,,,,,,,,,,
    (Includes Pennington County.),,,,,,,,,,,,,,,,,
         City of Rapid City ,"60,098","2,930",,214,"2,716",0,53,25,136,515,"2,070",131,,,,,
         Total area actually reporting,100.0%,"4,405",,299,"4,106",2,92,30,175,646,"3,292",168,,,,,
"         Rate per 100,000 inhabitants",,"4,933.1", ,334.8,"4,598.3",2.2,103.0,33.6,196.0,723.5,"3,686.7",188.1,,,,,
"Reading, PA M.S.A.","375,282",,,,,,, ,,,,, ,,,,
    (Includes Berks County.),,, , , , , ,, , , , ,,,,,
         City of Reading ,"81,565","6,218",,"1,087","5,131",19,55,510,503,"1,503","2,802",826,,,,,
         Total area actually reporting,89.0%,"10,932",,"1,429","9,503",21,71,603,734,"2,126","6,222","1,155",,,,,
         Estimated total,100.0%,"11,904",,"1,522","10,382",22,78,627,795,"2,252","6,909","1,221",,,,,
"         Rate per 100,000 inhabitants",,"3,172.0",,405.6,"2,766.5",5.9,20.8,167.1,211.8,600.1,"1,841.0",325.4,,,,,
"Redding, CA M.S.A.","169,254",,,,,,,,,,,,,,,,
    (Includes Shasta County.),,,, ,,,,,,,,,,,,,
         City of Redding ,"83,836","3,389",,426,"2,963",0,57,79,290,801,"1,788",374,,,,,
         Total area actually reporting,100.0%,"5,669",,825,"4,844",5,109,101,610,"1,460","2,782",602,,,,,
"         Rate per 100,000 inhabitants",,"3,349.4",,487.4,"2,862.0",3.0,64.4,59.7,360.4,862.6,"1,643.7",355.7, ,,,,
"Reno, NV M.S.A.3","369,256",,,,,,,,,,,,,,,,
    (Includes Washoe County.),,,,,,,,,,,,,,,,,
         City of Reno3,"196,307","11,626",,"1,484","10,142",9,126,450,899,"1,288","7,748","1,106",,,,,
         Total area actually reporting,100.0%,"17,477",,"2,045","15,432",12,188,573,"1,272","2,429","11,382","1,621",,,,,
"         Rate per 100,000 inhabitants",,"4,733.0",,553.8,"4,179.2",3.2,50.9,155.2,344.5,657.8,"3,082.4",439.0,,,,,
"Richland-Kennewick-Pasco, WA M.S.A.","197,514",,,,,,,,,,,,,,,,
    (Includes Benton and Franklin Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Richland ,"39,857","1,363",,62,"1,301",2,8,13,39,224,982,95,,,,,
            Kennewick,"56,316","2,851",,178,"2,673",2,22,39,115,463,"1,962",248,,,,,
            Pasco,"33,017","1,696",,151,"1,545",2,16,31,102,262,"1,149",134,,,,,
         Total area actually reporting,100.0%,"7,382",,505,"6,877",6,59,87,353,"1,296","5,011",570,,,,,
"         Rate per 100,000 inhabitants",,"3,737.5",,255.7,"3,481.8",3.0,29.9,44.0,178.7,656.2,"2,537.0",288.6, ,,,,
"Richmond-Petersburg, VA M.S.A.","1,026,785",,,,,,, ,,,,, ,,,,
"    (Includes Colonial Heights, Hopewell, Petersburg, and Richmond Cities and Charles City, Chesterfield, Dinwiddie, Goochland, Hanover, Henrico, New Kent, Powhatan, and Prince George Counties.) ",,,,,,,,,,,,,,,,,
         City of:,,, ,,,, ,,,,,,,,,,
            Richmond ,"203,799","18,002",,"2,606","15,396",77,118,"1,289","1,122","2,966","9,926","2,504",,,,,
            Petersburg,"34,765","2,497",,260,"2,237",6,18,79,157,278,"1,676",283,,,,,
         Total area actually reporting,99.9%,"46,681",,"4,573","42,108",115,277,"1,984","2,197","6,897","30,801","4,410",,,,,
         Estimated total,100.0%,"46,701",,"4,575","42,126",115,277,"1,985","2,198","6,899","30,815","4,412",,,,,
"         Rate per 100,000 inhabitants",,"4,548.3",,445.6,"4,102.7",11.2,27.0,193.3,214.1,671.9,"3,001.1",429.7,,,,,
"Riverside-San Bernardino, CA M.S.A.","3,374,398",,,,,,,,, ,,,,,,,
    (Includes Riverside and San Bernardino Counties.),, ,, , , , , ,, , , ,,,,,
        City of:,,,,,,,,, ,,,,,,,,
            Riverside ,"264,540","15,161",,"2,026","13,135",20,94,616,"1,296","2,525","8,140","2,470",,,,,
            San Bernardino,"192,212","13,755",,"2,484","11,271",42,102,886,"1,454","2,340","6,226","2,705", ,,,,
            Palm Springs,"44,380","3,908",,397,"3,511",3,22,112,260,993,"2,061",457, ,,,,
            Hemet,"60,972","2,794",,247,"2,547",1,23,112,111,828,"1,368",351, ,,,,
            Temecula,"59,837","2,151",,216,"1,935",0,19,28,169,452,"1,249",234, ,,,,
            Palm Desert,"42,667","2,193",,151,"2,042",0,9,37,105,536,"1,325",181, ,,,,
         Total area actually reporting,100.0%,"142,954",,"19,496","123,458",253,"1,021 ","5,359","12,863","29,621","69,543","24,294",,,,,
"         Rate per 100,000 inhabitants",,"4,236.4",,577.8,"3,658.7",7.5,30.3,158.8,381.2,877.8,"2,060.9",720.0,,,,,
"Rochester, MN M.S.A.","126,809",, ,,,,,,,,,, ,,,,
    (Includes Olmsted County.),,,,, , , , , , , , ,,,,,
         City of Rochester ,"87,555","3,003",,232,"2,771",1,44,43,144,455,"2,136",180,,,,,
         Total area actually reporting,100.0%,"3,440",,261,"3,179",1,52,46,162,561,"2,406",212,,,,,
"         Rate per 100,000 inhabitants",,"2,712.7",,205.8,"2,506.9",0.8,41.0,36.3,127.8,442.4,"1,897.3",167.2,,,,,
"Rochester, NY M.S.A.","1,108,681",, ,,,,,,,,,,,,,,
"    (Includes Genesee, Livingston, Monroe, Ontario, Orleans, and Wayne Counties.)",,,,, ,, , , , , , ,,,,,
         City of Rochester ,"221,871","16,911",,"1,786","15,125",42,107,972,665,"2,467","9,853","2,805",,,,,
         Total area actually reporting,97.4%,"37,387",,"2,743","34,644",51,231,"1,240","1,221","5,194","25,612","3,838",,,,,
         Estimated total,100.0%,"38,078",,"2,802","35,276",51,234,"1,259","1,258","5,285","26,110","3,881",,,,,
"         Rate per 100,000 inhabitants",,"3,434.5", ,252.7,"3,181.8",4.6,21.1,113.6,113.5,476.7,"2,355.1",350.1,,,,,
