Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2001",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total2,Violent crime3,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"36,287",,"3,886","32,401",39,90,"1,697","2,060","6,296","20,905","5,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,620.7",,280.7,"2,340.1",2.8,6.5,122.6,148.8,454.7,"1,509.8",375.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biloxi-Gulfport-Pascagoula, MS M.S.A.4","365,699",,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hancock, Harrison, and Jackson Counties.)",,,, ,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Biloxi,"50,882","4,592",,286,"4,306",5,25,120,136,627,"3,411",268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Gulfport,"71,461","5,436",,246,"5,190",10,37,147,52,"1,129","3,656",405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Pascagoula,"26,323","2,605",,181,"2,424",3,22,79,77,489,"1,712",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,92.3%,"21,290", ,"1,319","19,971",37,151,479,652,"4,613","13,940","1,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"22,032",,"1,358","20,674",39,158,486,675,"4,835","14,366","1,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,024.6",,371.3,"5,653.3",10.7,43.2,132.9,184.6,"1,322.1","3,928.4",402.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Binghamton, NY M.S.A.","252,784",,,, ,,,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Broome and Tioga Counties.),,,,,, , , , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Binghamton,"47,467","2,335",,188,"2,147",1,30,59,98,258,"1,827",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,333",,474,"5,859",3,66,99,306,901,"4,777",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,505.3",,187.5,"2,317.8",1.2,26.1,39.2,121.1,356.4,"1,889.8",71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birmingham, AL M.S.A.","924,680",,,, ,,,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Blount, Jefferson, St. Clair, and Shelby Counties.)",,,,,, , , , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Birmingham,"243,762","21,085",,"3,027","18,058",73,206,"1,084","1,664","4,079","11,928","2,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,89.7%,"41,308",,"4,829","36,479",105,337,"1,650","2,737","7,885","25,114","3,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"44,904",,"5,142","39,762",110,357,"1,735","2,940","8,627","27,430","3,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,856.2",,556.1,"4,300.1",11.9,38.6,187.6,317.9,933.0,"2,966.4",400.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bismarck, ND M.S.A.","93,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Burleigh and Morton Counties.),,,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bismarck,"54,862","1,797",,49,"1,748",0,8,11,30,261,"1,375",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,426",,66,"2,360",0,18,11,37,355,"1,848",157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,592.5",,70.5,"2,522.0",-,19.2,11.8,39.5,379.4,"1,974.9",167.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bloomington, IN M.S.A.","121,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      (Includes Monroe County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bloomington,"69,681","2,555",,113,"2,442",2,28,29,54,399,"1,938",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,107",,215,"3,892",2,42,41,130,708,"3,008",176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,387.4",,177.3,"3,210.1",1.6,34.6,33.8,107.2,584.0,"2,481.0",145.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boise, ID M.S.A.","441,385",,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Ada and Canyon Counties.),,,,,, , , , ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Boise,"189,671","8,730",,635,"8,095",2,84,78,471,"1,347","6,163",585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Nampa,"52,951","2,766",,228,"2,538",3,40,10,175,425,"1,946",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"17,926",,"1,341","16,585",9,176,125,"1,031","3,102","12,296","1,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,061.3",,303.8,"3,757.5",2.0,39.9,28.3,233.6,702.8,"2,785.8",268.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston, MA-NH M.S.A.5","3,422,303",,,, , , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Bristol, Essex, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester Counties, MA and part of Rockingham County, NH.)",,,,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Boston, MA","591,944","37,385",,"7,361","30,024",65,361,"2,523","4,412","4,222","17,608","8,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Cambridge, MA","101,837","4,416",,470,"3,946",1,15,181,273,688,"2,740",518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Lynn, MA5","89,472",,,,"3,576",1,16,161,,617,"1,681","1,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Waltham, MA","59,508","1,247",,67,"1,180",2,11,19,35,184,872,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Gloucester, MA","30,417",766,,64,702,0,9,9,46,155,499,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,94.8%,,,,"83,887",89,791,"4,003",,"13,463","55,223","15,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,,,,"87,160",90,826,"4,059",,"14,121","57,493","15,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,,,,"2,546.8",2.6,24.1,118.6,,412.6,"1,680.0",454.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brazoria, TX M.S.A.","247,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Brazoria County.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.7%,"7,332",,634,"6,698",6,95,96,437,"1,563","4,687",448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"7,369",,637,"6,732",6,95,97,439,"1,569","4,712",451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,980.3",,257.6,"2,722.7",2.4,38.4,39.2,177.6,634.6,"1,905.7",182.4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bremerton, WA M.S.A.4","235,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Kitsap County.),,,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bremerton,"37,852","2,771",,378,"2,393",3,78,58,239,471,"1,571",351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"9,161",,953,"8,208",6,198,114,635,"1,935","5,599",674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,887.3",,404.4,"3,482.9",2.5,84.0,48.4,269.5,821.1,"2,375.9",286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bridgeport, CT M.S.A.","446,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Fairfield and New Haven Counties.),,,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bridgeport,"140,328","8,162",,"1,910","6,252",16,69,608,"1,217","1,266","2,876","2,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"15,832",,"2,312","13,520",18,104,761,"1,429","2,423","8,188","2,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,542.2",,517.3,"3,024.9",4.0,23.3,170.3,319.7,542.1,"1,831.9",650.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brockton, MA M.S.A.","256,673",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Bristol, Norfolk, and Plymouth Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Brockton,"94,750","5,242", ,"1,055","4,187",5,58,204,788,743,"2,158","1,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,89.7%,"8,255", ,"1,448","6,807",6,79,237,"1,126","1,309","3,905","1,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,818",,"1,521","7,297",6,84,246,"1,185","1,408","4,244","1,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,435.5", ,592.6,"2,842.9",2.3,32.7,95.8,461.7,548.6,"1,653.5",640.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brownsville-Harlingen-San Benito, TX M.S.A.","342,834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Cameron County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Brownsville,"142,893","11,910",,809,"11,101",7,27,180,595,"1,066","9,574",461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Harlingen,"58,870","4,611", ,328,"4,283",5,36,66,221,989,"3,045",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            San Benito,"23,976","2,523",,71,"2,452",1,12,7,51,300,"2,087",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"22,629",,"1,565","21,064",14,96,277,"1,178","3,421","16,718",925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"6,600.6",,456.5,"6,144.1",4.1,28.0,80.8,343.6,997.9,"4,876.4",269.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bryan-College Station, TX M.S.A.","155,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Brazos County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bryan,"67,150","4,041",,459,"3,582",4,66,64,325,741,"2,658",183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            College Station,"69,431","2,507",,112,"2,395",1,35,18,58,285,"2,026",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,545",,626,"6,919",5,106,89,426,"1,231","5,401",287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"4,840.4", ,401.6,"4,438.8",3.2,68.0,57.1,273.3,789.7,"3,465.0",184.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo-Niagara Falls, NY M.S.A.","1,172,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Erie and Niagara Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Buffalo,"293,187","19,894",,"3,709","16,185",64,229,"1,600","1,816","3,965","9,669","2,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Niagara Falls,"55,695","3,599", ,489,"3,110",4,26,168,291,795,"1,947",368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.6%,"41,800",,"5,250","36,550",73,350,"2,019","2,808","7,292","25,278","3,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"42,215",,"5,284","36,931",73,352,"2,030","2,829","7,346","25,579","4,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,601.1",,450.8,"3,150.4",6.2,30.0,173.2,241.3,626.7,"2,182.0",341.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burlington, VT M.S.A.","162,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Chittenden, Franklin, and Grand Isle Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Burlington,"39,161","2,686",,142,"2,544",0,16,21,105,379,"2,069",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,243",,252,"5,991",5,33,35,179,952,"4,793",246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,847.8",,155.3,"3,692.4",3.1,20.3,21.6,110.3,586.7,"2,954.1",151.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casper, WY M.S.A.","66,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Natrona County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Casper,"49,708","2,318",,156,"2,162",2,20,23,111,435,"1,607",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,965",,198,"2,767",3,20,28,147,594,"2,007",166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,450.7",,297.2,"4,153.5",4.5,30.0,42.0,220.7,891.6,"3,012.7",249.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cedar Rapids, IA M.S.A.","191,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Linn County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Cedar Rapids,"120,628","7,473",,407,"7,066",3,57,99,248,"1,318","5,381",367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,94.9%,"8,473",,437,"8,036",3,59,102,273,"1,628","5,990",418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,782",,452,"8,330",3,60,105,284,"1,666","6,235",429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"4,586.0",,236.0,"4,350.0",1.6,31.3,54.8,148.3,870.0,"3,256.0",224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlottesville, VA M.S.A.","162,038",,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Albemarle, Fluvanna, and Greene Counties and Charlottesville City.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Charlottesville,"45,744","2,127",,463,"1,664",3,25,71,364,269,"1,279",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,050",,692,"4,358",6,54,100,532,702,"3,437",219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,116.6",,427.1,"2,689.5",3.7,33.3,61.7,328.3,433.2,"2,121.1",135.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chattanooga, TN-GA M.S.A.","471,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hamilton and Marion Counties, TN and Catoosa, Dade, and Walker Counties, GA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Chattanooga, TN","156,941","19,320",,"2,806","16,514",26,86,765,"1,929","3,270","11,042","2,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"30,034",,"3,871","26,163",37,134,874,"2,826","5,432","17,766","2,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"6,372.9",,821.4,"5,551.5",7.9,28.4,185.5,599.6,"1,152.6","3,769.7",629.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheyenne, WY M.S.A.","81,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Laramie County.),,,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Cheyenne,"53,080","2,325",,81,"2,244",0,14,15,52,268,"1,903",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,096",,140,"2,956",1,43,21,75,404,"2,451",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,788.9 ",,171.3,"3,617.5",1.2,52.6,25.7,91.8,494.4,"2,999.5",123.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chico-Paradise, CA M.S.A.","206,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Butte County.),, ,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Chico,"61,068","2,332",,224,"2,108",2,36,68,118,491,"1,334",283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Paradise,"26,899",922,,59,863,0,6,5,48,230,568,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,565",,629,"6,936",11,81,132,405,"1,779","4,159",998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"3,655.5", ,303.9,"3,351.6",5.3,39.1,63.8,195.7,859.6,"2,009.7",482.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cincinnati, OH-KY-IN M.S.A.4","1,651,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Brown, Clermont, Hamilton, and Warren Counties, OH, Boone, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY, and Dearborn and Ohio Counties, IN.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Cincinnati, OH","331,880","27,817",,"3,890","23,927",55,358,"2,075","1,402","6,297","14,283","3,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,76.2%,"56,679",,"5,561","51,118",71,565,"2,675","2,250","10,458","35,748","4,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"76,023",,"7,315","68,708",75,701,"3,072","3,467","13,152","49,545","6,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"4,604.5",,443.0,"4,161.4",4.5,42.5,186.1,210.0,796.6,"3,000.8",364.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado Springs, CO M.S.A.","530,924",, , , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes El Paso County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Colorado Springs,"370,661","19,475",,"1,907","17,568",14,257,494,"1,142","3,070","13,155","1,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.4%,"23,042",,"2,323","20,719",19,301,517,"1,486","3,801","15,326","1,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"23,201",,"2,335","20,866",19,302,520,"1,494","3,820","15,434","1,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,369.9",,439.8,"3,930.1",3.6,56.9,97.9,281.4,719.5,"2,907.0",303.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, MO M.S.A.","136,289",,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Boone County.),,,, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Columbia,"85,052","3,897",,439,"3,458",4,16,140,279,455,"2,822",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,485",,567,"4,918",4,24,167,372,682,"3,974",262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,024.5",,416.0,"3,608.5",2.9,17.6,122.5,272.9,500.4,"2,915.9",192.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, SC M.S.A.","425,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lexington and Richland Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Columbia,"117,756","10,574",,"1,300","9,274",15,62,442,781,"1,426","6,863",985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.7%,"20,050",,"2,442","17,608",25,157,622,"1,638","3,567","12,204","1,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"20,119",,"2,449","17,670",25,157,624,"1,643","3,577","12,252","1,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,725.5",,575.2,"4,150.3",5.9,36.9,146.6,385.9,840.2,"2,877.7",432.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbus, GA-AL M.S.A.","280,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Chattahoochee, Harris, and Muscogee Counties, GA and Russell County, AL.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
