Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2000",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total1,Violent crime2,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"17,152",,"1,278","15,874",4,146,98,"1,030","3,101","11,921",852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,068.2",,303.1,"3,765.1",0.9,34.6,23.2,244.3,735.5,"2,827.5",202.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston, MA-NH M.S.A.","3,573,108",,,, , , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Bristol, Essex, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester Counties, MA and part of Rockingham County, NH.)",,,,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Boston, MA","570,888","35,870",,"7,322","28,548",39,325,"2,451","4,507","4,051","17,228","7,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Cambridge, MA","95,560","4,390",,520,"3,870",1,11,186,322,552,"2,820",498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Lynn, MA5","83,268",,,,"3,756",5,14,148,,615,"1,858","1,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Waltham, MA","60,285","1,019",,31,988,-,12,8,11,132,783,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Gloucester, MA","30,582",487,,34,453,-,4,7,23,137,265,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.7%,,,,"86,872",74,767,"3,764",,"14,304","57,509","15,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,,,,"88,403",75,779,"3,792",,"14,571","58,597","15,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,,,,"2,474.1",2.1,21.8,106.1,,407.8,"1,639.9",426.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brazoria, TX M.S.A.","243,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Brazoria County.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.6%,"6,813",,617,"6,196",5,99,81,432,"1,444","4,308",444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,852",,620,"6,232",5,99,82,434,"1,451","4,334",447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,811.1",,254.4,"2,556.8",2.1,40.6,33.6,178.1,595.3,"1,778.1",183.4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bremerton, WA M.S.A.","242,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Kitsap County.),,,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bremerton,"41,584","2,938",,387,"2,551",5,75,76,231,473,"1,810",268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"10,031",,"1,002","9,029",8,178,127,689,"2,164","6,422",443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,141.3",,413.7,"3,727.6",3.3,73.5,52.4,284.5,893.4,"2,651.3",182.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bridgeport, CT M.S.A.","448,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Fairfield and New Haven Counties.),,,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bridgeport,"142,198","8,900",,"1,984","6,916",19,85,589,"1,291","1,626","3,122","2,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"16,595",,"2,364","14,231",20,119,733,"1,492","2,729","8,450","3,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,704.1",,527.7,"3,176.4",4.5,26.6,163.6,333.0,609.1,"1,886.1",681.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brockton, MA M.S.A.","260,688",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Bristol, Norfolk, and Plymouth Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Brockton,"96,291","4,873", ,996,"3,877",2,39,207,748,703,"2,151","1,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,89.6%,"7,578",,"1,387","6,191",2,64,241,"1,080","1,091","3,816","1,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,166",,"1,472","6,694",2,68,250,"1,152","1,179","4,173","1,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,132.5",,564.7,"2,567.8",0.8,26.1,95.9,441.9,452.3,"1,600.8",514.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brownsville-Harlingen-San Benito, TX M.S.A.","339,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Cameron County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Brownsville,"153,653","11,420",,912,"10,508",6,29,181,696,"1,227","8,893",388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Harlingen,"59,441","4,109", ,303,"3,806",4,30,52,217,802,"2,802",202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            San Benito,"25,403","1,666",,46,"1,620",-,8,9,29,233,"1,339",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.3%,"20,625",,"1,558","19,067",17,75,276,"1,190","3,351","14,961",755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"20,861",,"1,575","19,286",17,77,280,"1,201","3,391","15,123",772,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"6,136.5",,463.3,"5,673.2",5.0,22.7,82.4,353.3,997.5,"4,448.6",227.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bryan-College Station, TX M.S.A.","139,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Brazos County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bryan,"61,294","4,484",,440,"4,044",5,58,65,312,"1,003","2,810",231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            College Station,"63,584","2,666",,134,"2,532",2,38,19,75,309,"2,139",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,277",,610,"7,667",7,100,87,416,"1,482","5,846",339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"5,928.2", ,436.9,"5,491.3",5.0,71.6,62.3,297.9,"1,061.4","4,187.0",242.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo-Niagara Falls, NY M.S.A.","1,193,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Erie and Niagara Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Buffalo,"308,288","20,248",,"3,657","16,591",39,176,"1,555","1,887","4,194","9,831","2,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Niagara Falls,"58,325","3,186", ,486,"2,700",2,27,150,307,707,"1,712",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,87.4%,"41,049",,"5,145","35,904",42,268,"1,947","2,888","7,402","24,564","3,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"44,114",,"5,402","38,712",44,289,"1,985","3,084","7,933","26,708","4,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,697.2",,452.7,"3,244.5",3.7,24.2,166.4,258.5,664.9,"2,238.4",341.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burlington, VT M.S.A.","154,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Chittenden, Franklin, and Grand Isle Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Burlington,"39,306","3,023",,178,"2,845", -,31,31,116,500,"2,230",115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,833",,281,"6,552",1,41,52,187,"1,023","5,255",274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,433.1",,182.3,"4,250.8",0.6,26.6,33.7,121.3,663.7,"3,409.3",177.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casper, WY M.S.A.","65,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Natrona County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Casper,"49,659","2,182",,173,"2,009",3,35,16,119,335,"1,558",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,745",,236,"2,509",3,35,17,181,464,"1,889",156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,221.5",,362.9,"3,858.6",4.6,53.8,26.1,278.4,713.6,"2,905.1",239.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cedar Rapids, IA M.S.A.","188,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Linn County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Cedar Rapids,"118,073","6,245",,350,"5,895",1,35,95,219,"1,027","4,537",331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,94.7%,"7,096",,386,"6,710",1,35,96,254,"1,243","5,099",368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"7,534",,416,"7,118",1,39,100,276,"1,304","5,417",397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"3,995.6",,220.6,"3,775.0",0.5,20.7,53.0,146.4,691.6,"2,872.9",210.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlottesville, VA M.S.A.","155,792",,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Albemarle, Fluvanna, and Greene Counties and Charlottesville City.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Charlottesville,"37,916","2,323",,399,"1,924",3,18,102,276,359,"1,427",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,284",,573,"4,711",5,48,124,396,809,"3,640",262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,391.7",,367.8,"3,023.9",3.2,30.8,79.6,254.2,519.3,"2,336.4",168.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chattanooga, TN-GA M.S.A.4","471,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hamilton and Marion Counties, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    and Catoosa, Dade, and Walker Counties, GA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Chattanooga, TN4","152,630","17,984",,"2,734","15,250",17,109,770,"1,838","3,271","9,649","2,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"28,090",,"3,636","24,454",24,180,875,"2,557","5,487","15,839","3,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"28,119",,"3,638","24,481",24,180,876,"2,558","5,491","15,859","3,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"5,969.7",,772.3,"5,197.3",5.1,38.2,186.0,543.1,"1,165.7","3,366.9",664.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheyenne, WY M.S.A.","81,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Laramie County.),,,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Cheyenne,"55,519","2,182",,103,"2,079",2,20,21,60,182,"1,824",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,869",,177,"2,692",3,43,27,104,270,"2,336",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,532.9 ",,218.0,"3,315.0",3.7,53.0,33.2,128.1,332.5,"2,876.6",105.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chico-Paradise, CA M.S.A.","199,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Butte County.),, ,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Chico,"53,048","2,070",,192,"1,878",1,35,62,94,432,"1,210",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Paradise,"26,379",981,,109,872,-,4,10,95,211,627,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,213",,699,"6,514",8,77,139,475,"1,754","3,965",795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"3,615.6", ,350.4,"3,265.2",4.0,38.6,69.7,238.1,879.2,"1,987.5",398.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado Springs, CO M.S.A.","530,211",, , , ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes El Paso County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Colorado Springs,"371,363","18,684",,"1,716","16,968",15,251,455,995,"3,095","12,640","1,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"22,199",,"2,069","20,130",19,277,479,"1,294","3,894","14,800","1,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"22,235",,"2,072","20,163",19,277,480,"1,296","3,899","14,824","1,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,193.6",,390.8,"3,802.8",3.6,52.2,90.5,244.4,735.4,"2,795.9",271.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, MO M.S.A.","133,199",,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Boone County.),,,, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Columbia,"82,368","3,607",,374,"3,233",9,26,84,255,485,"2,611",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,809",,450,"4,359",12,37,97,304,660,"3,511",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,610.4",,337.8,"3,272.5",9.0,27.8,72.8,228.2,495.5,"2,635.9",141.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, SC M.S.A.","533,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lexington and Richland Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Columbia,"112,539","9,967",,"1,500","8,467",12,40,493,955,"1,209","6,508",750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.8%,"30,015",,"4,219","25,796",33,181,"1,214","2,791","4,755","18,670","2,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"30,074",,"4,225","25,849",33,181,"1,215","2,796","4,763","18,711","2,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,637.3",,792.0,"4,845.3",6.2,33.9,227.7,524.1,892.8,"3,507.3",445.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbus, GA-AL M.S.A.","286,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Chattahoochee, Harris, and Muscogee Counties, GA and Russell County, AL.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Columbus, GA","190,830","11,880",,"1,072","10,808",19,24,439,590,"1,771","7,982","1,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.8%,"14,043",,"1,342","12,701",33,50,481,778,"2,346","9,159","1,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"14,080",,"1,345","12,735",33,50,482,780,"2,351","9,185","1,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,916.1",,469.6,"4,446.5",11.5,17.5,168.3,272.3,820.9,"3,207.0",418.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corpus Christi, TX M.S.A.","402,704",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Nueces and San Patricio Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Corpus Christi,"293,146","20,009",,"2,104","17,905",17,193,437,"1,457","3,537","12,979","1,389", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"24,653",,"2,364","22,289",20,222,461,"1,661","4,463","16,243","1,583",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,121.9",,587.0,"5,534.8",5.0,55.1,114.5,412.5,"1,108.3","4,033.5",393.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corvallis, OR M.S.A.","79,642",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Benton County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Corvallis,"52,396","2,267",,75,"2,192",-,15,18,42,407,"1,716",69, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,526",,186,"3,340",-,22,24,140,630,"2,581",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,427.3",,233.5,"4,193.8",-,27.6,30.1,175.8,791.0,"3,240.8",162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumberland, MD-WV M.S.A.4","99,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Allegany County, MD and Mineral County, WV.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Cumberland, MD","23,161","1,349",,185,"1,164",-,13,14,158,207,881,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,78.4%,"2,776",,337,"2,439",2,27,25,283,525,"1,770",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"3,309",,402,"2,907",3,30,31,338,643,"2,077",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,310.0",,402.1,"2,907.9",3.0,30.0,31.0,338.1,643.2,"2,077.6",187.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX M.S.A.","3,412,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Collin, Dallas, Denton, Ellis, Henderson, Hunt, Kaufman, and Rockwall Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Dallas,"1,119,580","105,050",,"16,042","89,008",231,633,"7,046","8,132","20,300","50,777","17,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Irving,"186,754","9,025",,784,"8,241",10,51,225,498,"1,245","6,013",983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Denton,"82,400","3,233",,270,"2,963",2,36,72,160,567,"2,263",133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"192,527",,"22,929","169,598",291,"1,173","8,604","12,861","36,865","107,265","25,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"192,667",,"22,939","169,728",291,"1,174","8,606","12,868","36,889","107,361","25,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,645.9",,672.2,"4,973.7",8.5,34.4,252.2,377.1,"1,081.0","3,146.1",746.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danbury, CT M.S.A.","178,345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Fairfield and Litchfield Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Danbury,"69,486","2,083",,133,"1,950",3,10,46,74,254,"1,511",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,207",,183,"3,024",3,19,54,107,518,"2,258",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"1,798.2", ,102.6,"1,695.6",1.7,10.7,30.3,60.0,290.4,"1,266.1",139.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daytona Beach, FL M.S.A.","502,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Flagler and Volusia Counties.),,,,, , , , ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Daytona Beach,"68,436","6,776",,"1,130","5,646",10,84,366,670,"1,597","3,181",868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"22,928",,"3,497","19,431",21,244,677,"2,555","5,104","12,498","1,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,566.6",,696.5,"3,870.1",4.2,48.6,134.8,508.9,"1,016.6","2,489.3",364.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dayton-Springfield, OH M.S.A.","967,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Clark, Greene, Miami, and Montgomery Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Dayton,"170,789","16,381",,"2,044","14,337",29,146,"1,171",698,"3,742","7,392","3,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Springfield,"65,712","6,049",,842,"5,207",5,78,227,532,"1,283","3,547",377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Fairborn,"34,065","1,546",,79,"1,467",1,22,27,29,170,"1,199",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,86.3%,"42,958",,"3,823","39,135",39,411,"1,765","1,608","8,319","25,777","5,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"46,324",,"3,992","42,332",41,442,"1,823","1,686","8,937","28,160","5,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,788.2", ,412.6,"4,375.6",4.2,45.7,188.4,174.3,923.8,"2,910.7",541.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denver, CO M.S.A.","2,081,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Adams, Arapahoe, Denver, Douglas, and Jefferson Counties.)",,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Denver,"529,978","26,302",,"2,885","23,417",32,296,"1,039","1,518","4,983","12,842","5,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.5%,"86,345",,"7,230","79,115",77,849,"2,058","4,246","13,504","53,113","12,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"88,953",,"7,419","81,534",79,871,"2,103","4,366","13,838","54,909","12,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,273.6",,356.4,"3,917.1",3.8,41.8,101.0,209.8,664.8,"2,638.0",614.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Des Moines, IA M.S.A.","452,291",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Dallas, Polk, and Warren Counties.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Des Moines,"194,745","13,652",,715,"12,937",14,98,291,312,"1,729","10,250",958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"18,507",,"1,004","17,503",17,120,318,549,"2,672","13,564","1,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,091.8",,222.0,"3,869.9",3.8,26.5,70.3,121.4,590.8,"2,999.0",280.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Detroit, MI M.S.A.","4,510,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Lapeer, Macomb, Monroe, Oakland, St. Clair, and Wayne Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Detroit,"972,390","95,761",,"22,112","73,649",396,811,"7,868","13,037","15,828","31,929","25,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Dearborn,"88,883","5,835",,770,"5,065",-,17,128,625,521,"3,558",986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Pontiac,"68,665","4,634",,"1,260","3,374",6,66,220,968,938,"1,837",599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Port Huron,"32,582","1,385",,142,"1,243",1,22,29,90,200,940,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.7%,"209,161",,"33,782","175,379",478,"1,896","10,263","21,145","32,819","101,380","41,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"211,376",,"33,989","177,387",479,"1,917","10,306","21,287","33,135","102,815","41,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,686.5",,753.6,"3,932.9",10.6,42.5,228.5,472.0,734.7,"2,279.6",918.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dothan, AL M.S.A.","136,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
